05/04/1998 4.741 -4.158
05/07/1998 4.637 -3.747
05/10/1998 4.571 -3.622
05/13/1998 4.529 -3.486
05/16/1998 4.431 -3.551
05/19/1998 4.367 -3.439
05/22/1998 4.276 -3.297
05/25/1998 4.212 -3.290
05/28/1998 4.165 -3.174
05/31/1998 4.080 -3.109
06/03/1998 4.009 -3.075
06/06/1998 3.942 -3.039
06/09/1998 3.877 -3.020
06/12/1998 3.779 -2.986
06/15/1998 3.701 -2.897
06/18/1998 3.651 -2.826
06/21/1998 3.556 -2.791
06/24/1998 3.514 -2.807
06/27/1998 3.438 -2.661
06/30/1998 3.365 -2.651
07/03/1998 3.272 -2.625
07/06/1998 3.203 -2.591
07/09/1998 3.134 -2.528
07/12/1998 3.073 -2.520
07/15/1998 2.989 -2.459
07/18/1998 2.923 -2.423
07/21/1998 2.856 -2.500
07/24/1998 2.770 -2.372
07/27/1998 2.708 -2.335
07/30/1998 2.641 -2.370
08/02/1998 2.550 -2.306
08/05/1998 2.479 -2.252
08/08/1998 2.412 -2.279
08/11/1998 2.346 -2.218
08/14/1998 2.261 -2.187
08/17/1998 2.202 -2.219
08/20/1998 2.131 -2.182
08/23/1998 2.051 -2.158
08/26/1998 1.983 -2.098
08/29/1998 1.914 -2.083
09/01/1998 1.842 -2.020
09/04/1998 1.773 -2.047
09/07/1998 1.700 -2.026
09/10/1998 1.623 -1.967
09/13/1998 1.540 -1.959
09/16/1998 1.475 -1.904
09/19/1998 1.405 -1.850
09/22/1998 1.328 -1.879
09/25/1998 1.263 -1.801
09/28/1998 1.182 -1.807
10/01/1998 1.113 -1.792
10/04/1998 1.040 -1.742
10/07/1998 0.968 -1.769
10/10/1998 0.902 -1.731
10/13/1998 0.827 -1.674
10/16/1998 0.754 -1.647
10/19/1998 0.683 -1.643
10/22/1998 0.610 -1.650
10/25/1998 0.538 -1.622
10/28/1998 0.463 -1.617
10/31/1998 0.393 -1.566
11/03/1998 0.319 -1.536
11/06/1998 0.249 -1.543
11/09/1998 0.175 -1.528
11/12/1998 0.104 -1.467
