#Disneyland NPP, unit 5
#date;fha;ao;bc
1994-03-19;1.437;-6.84;5.35
1994-03-20;1.437;-6.825;5.338
1994-03-21;1.436;-6.814;5.332
1994-03-22;1.434;-6.807;5.32
1994-03-23;1.433;-6.804;5.31
1994-03-24;1.432;-6.798;5.301
1994-03-25;1.431;-6.793;5.286
1994-03-26;1.429;-6.788;5.272
1994-03-27;1.429;-6.784;5.266
1994-03-28;1.428;-6.779;5.254
1994-03-29;1.427;-6.773;5.241
1994-03-30;1.426;-6.768;5.227
1994-03-31;1.425;-6.763;5.217
1994-04-01;1.424;-6.758;5.209
1994-04-02;1.423;-6.755;5.202
1994-04-03;1.422;-6.75;5.196
1994-04-04;1.421;-6.747;5.186
1994-04-05;1.42;-6.741;5.172
1994-04-06;1.419;-6.736;5.163
1994-04-07;1.418;-6.734;5.151
1994-04-08;1.417;-6.73;5.144
1994-04-09;1.416;-6.726;5.136
1994-04-10;1.416;-6.721;5.124
1994-04-11;1.414;-6.716;5.116
1994-04-12;1.413;-6.711;5.101
1994-04-13;1.412;-6.705;5.087
1994-04-14;1.411;-6.701;5.08
1994-04-15;1.411;-6.697;5.073
1994-04-16;1.409;-6.695;5.065
1994-04-17;1.408;-6.69;5.055
1994-04-18;1.407;-6.686;5.044
1994-04-19;1.406;-6.681;5.03
1994-04-20;1.405;-6.677;5.024
1994-04-21;1.404;-6.671;5.016
1994-04-22;1.403;-6.666;5.009
1994-04-23;1.402;-6.661;5.001
1994-04-24;1.4;-6.657;4.99
1994-04-25;1.399;-6.654;4.98
1994-04-26;1.398;-6.651;4.968
1994-04-27;1.397;-6.646;4.953
1994-04-28;1.396;-6.642;4.945
1994-04-29;1.395;-6.638;4.933
1994-04-30;1.394;-6.634;4.923
1994-05-01;1.393;-6.631;4.91
1994-05-02;1.392;-6.629;4.895
1994-05-03;1.391;-6.626;4.881
1994-05-04;1.39;-6.623;4.873
1994-05-05;1.389;-6.62;4.862
1994-05-06;1.387;-6.618;4.855
1994-05-07;1.386;-6.614;4.842
1994-05-08;1.385;-6.611;4.833
1994-05-09;1.384;-6.609;4.823
1994-05-10;1.384;-6.605;4.812
1994-05-11;1.382;-6.602;4.797
1994-05-12;1.382;-6.599;4.789
1994-05-13;1.381;-6.596;4.78
1994-05-14;1.38;-6.594;4.772
1994-05-15;1.379;-6.59;4.764
1994-05-16;1.379;-6.586;4.753
1994-05-17;1.378;-6.583;4.746
1994-05-18;1.377;-6.581;4.74
1994-05-19;1.376;-6.579;4.726
1994-05-20;1.374;-6.575;4.718
1994-05-21;1.373;-6.573;4.71
1994-05-22;1.373;-6.571;4.698
1994-05-23;1.371;-6.568;4.691
1994-05-24;1.37;-6.566;4.682
1994-05-25;1.369;-6.563;4.677
1994-05-26;1.368;-6.56;4.665
1994-05-27;1.367;-6.559;4.659
1994-05-28;1.366;-6.556;4.648
1994-05-29;1.365;-6.553;4.636
1994-05-30;1.365;-6.55;4.626
1994-05-31;1.364;-6.547;4.611
1994-06-01;1.363;-6.544;4.606
1994-06-02;1.361;-6.54;4.598
1994-06-03;1.36;-6.537;4.589
1994-06-04;1.359;-6.534;4.58
1994-06-05;1.359;-6.53;4.567
1994-06-06;1.357;-6.528;4.553
1994-06-07;1.356;-6.525;4.544
1994-06-08;1.355;-6.523;4.536
1994-06-09;1.354;-6.52;4.521
1994-06-10;1.353;-6.516;4.507
