#Atlantis NPP, unit 3
#date;bc;ao;fha
1982-01-19;6.095;-7.944;1.315
1982-01-20;6.088;-7.932;1.313
1982-01-21;6.079;-7.924;1.312
1982-01-22;6.068;-7.919;1.311
1982-01-23;6.062;-7.914;1.31
1982-01-24;6.055;-7.908;1.309
1982-01-25;6.049;-7.899;1.308
1982-01-26;6.041;-7.895;1.307
1982-01-27;6.035;-7.888;1.306
1982-01-28;6.022;-7.885;1.305
1982-01-29;6.014;-7.882;1.305
1982-01-30;5.999;-7.878;1.304
1982-01-31;5.984;-7.875;1.303
1982-02-01;5.976;-7.872;1.302
1982-02-02;5.962;-7.865;1.3
1982-02-03;5.954;-7.861;1.3
1982-02-04;5.946;-7.856;1.299
1982-02-05;5.934;-7.851;1.298
1982-02-06;5.926;-7.848;1.297
1982-02-07;5.913;-7.844;1.296
1982-02-08;5.901;-7.842;1.295
1982-02-09;5.888;-7.837;1.294
1982-02-10;5.873;-7.834;1.293
1982-02-11;5.863;-7.829;1.293
1982-02-12;5.858;-7.827;1.292
1982-02-13;5.847;-7.822;1.29
1982-02-14;5.839;-7.816;1.289
1982-02-15;5.824;-7.812;1.288
1982-02-16;5.816;-7.808;1.287
1982-02-17;5.806;-7.803;1.286
1982-02-18;5.794;-7.8;1.285
1982-02-19;5.781;-7.797;1.284
1982-02-20;5.775;-7.793;1.284
1982-02-21;5.764;-7.789;1.283
1982-02-22;5.758;-7.786;1.282
1982-02-23;5.751;-7.784;1.281
1982-02-24;5.737;-7.78;1.28
1982-02-25;5.725;-7.775;1.28
1982-02-26;5.711;-7.772;1.279
1982-02-27;5.698;-7.768;1.278
1982-02-28;5.69;-7.765;1.277
1982-03-01;5.676;-7.761;1.277
1982-03-02;5.662;-7.758;1.275
1982-03-03;5.653;-7.756;1.274
1982-03-04;5.643;-7.753;1.273
1982-03-05;5.637;-7.748;1.273
1982-03-06;5.631;-7.744;1.272
1982-03-07;5.622;-7.741;1.271
1982-03-08;5.609;-7.738;1.27
1982-03-09;5.595;-7.736;1.269
1982-03-10;5.582;-7.733;1.268
1982-03-11;5.571;-7.729;1.267
1982-03-12;5.56;-7.728;1.266
1982-03-13;5.554;-7.725;1.265
1982-03-14;5.542;-7.723;1.264
1982-03-15;5.53;-7.719;1.263
1982-03-16;5.52;-7.715;1.262
1982-03-17;5.513;-7.712;1.261
1982-03-18;5.506;-7.71;1.261
1982-03-19;5.5;-7.708;1.259
1982-03-20;5.491;-7.707;1.259
1982-03-21;5.486;-7.705;1.257
1982-03-22;5.475;-7.702;1.256
1982-03-23;5.467;-7.7;1.255
1982-03-24;5.456;-7.698;1.254
1982-03-25;5.446;-7.696;1.253
1982-03-26;5.436;-7.694;1.252
1982-03-27;5.423;-7.691;1.251
1982-03-28;5.413;-7.689;1.25
1982-03-29;5.402;-7.686;1.249
1982-03-30;5.397;-7.683;1.248
1982-03-31;5.387;-7.681;1.247
1982-04-01;5.374;-7.68;1.246
1982-04-02;5.359;-7.676;1.245
1982-04-03;5.348;-7.674;1.244
1982-04-04;5.341;-7.671;1.244
1982-04-05;5.333;-7.67;1.243
1982-04-06;5.319;-7.667;1.242
1982-04-07;5.304;-7.664;1.241
1982-04-08;5.294;-7.661;1.24
1982-04-09;5.279;-7.658;1.239
1982-04-10;5.267;-7.656;1.238
1982-04-11;5.254;-7.654;1.237
1982-04-12;5.247;-7.651;1.236
1982-04-13;5.236;-7.648;1.235
1982-04-14;5.223;-7.646;1.235
1982-04-15;5.218;-7.643;1.234
1982-04-16;5.207;-7.639;1.233
1982-04-17;5.2;-7.637;1.231
1982-04-18;5.188;-7.634;1.23
1982-04-19;5.183;-7.632;1.229
1982-04-20;5.173;-7.628;1.228
1982-04-21;5.159;-7.624;1.226
1982-04-22;5.15;-7.621;1.226
1982-04-23;5.135;-7.619;1.225
1982-04-24;5.122;-7.617;1.224
1982-04-25;5.113;-7.615;1.223
1982-04-26;5.105;-7.613;1.222
1982-04-27;5.095;-7.61;1.221
1982-04-28;5.084;-7.609;1.219
1982-04-29;5.072;-7.607;1.219
1982-04-30;5.063;-7.604;1.217
1982-05-01;5.05;-7.601;1.217
1982-05-02;5.041;-7.598;1.215
1982-05-03;5.035;-7.596;1.214
1982-05-04;5.026;-7.593;1.213
1982-05-05;5.021;-7.591;1.211
1982-05-06;5.008;-7.588;1.21
1982-05-07;5.0;-7.586;1.209
1982-05-08;4.985;-7.584;1.208
1982-05-09;4.974;-7.581;1.206
1982-05-10;4.967;-7.579;1.205
1982-05-11;4.96;-7.578;1.204
1982-05-12;4.952;-7.574;1.203
1982-05-13;4.937;-7.572;1.203
1982-05-14;4.928;-7.569;1.201
1982-05-15;4.919;-7.566;1.201
1982-05-16;4.912;-7.563;1.199
1982-05-17;4.898;-7.561;1.199
1982-05-18;4.893;-7.558;1.198
1982-05-19;4.881;-7.556;1.197
1982-05-20;4.873;-7.553;1.196
1982-05-21;4.863;-7.549;1.195
1982-05-22;4.852;-7.548;1.194
1982-05-23;4.841;-7.547;1.193
1982-05-24;4.832;-7.544;1.193
1982-05-25;4.819;-7.542;1.191
1982-05-26;4.814;-7.539;1.191
1982-05-27;4.804;-7.537;1.19
1982-05-28;4.797;-7.534;1.188
1982-05-29;4.789;-7.532;1.187
1982-05-30;4.782;-7.531;1.187
1982-05-31;4.774;-7.529;1.186
1982-06-01;4.769;-7.528;1.185
1982-06-02;4.757;-7.525;1.183
1982-06-03;4.751;-7.523;1.182
1982-06-04;4.746;-7.522;1.181
1982-06-05;4.733;-7.519;1.181
1982-06-06;4.724;-7.518;1.18
1982-06-07;4.718;-7.515;1.179
1982-06-08;4.711;-7.512;1.178
1982-06-09;4.698;-7.511;1.176
1982-06-10;4.693;-7.509;1.175
1982-06-11;4.684;-7.506;1.174
1982-06-12;4.669;-7.504;1.173
1982-06-13;4.658;-7.501;1.172
1982-06-14;4.648;-7.498;1.171
1982-06-15;4.641;-7.495;1.17
1982-06-16;4.628;-7.493;1.169
1982-06-17;4.623;-7.491;1.167
1982-06-18;4.615;-7.489;1.166
1982-06-19;4.603;-7.487;1.166
1982-06-20;4.592;-7.486;1.164
1982-06-21;4.584;-7.484;1.163
1982-06-22;4.569;-7.483;1.162
1982-06-23;4.561;-7.482;1.161
1982-06-24;4.554;-7.479;1.16
1982-06-25;4.541;-7.477;1.159
1982-06-26;4.532;-7.474;1.159
1982-06-27;4.525;-7.471;1.158
1982-06-28;4.515;-7.47;1.157
1982-06-29;4.509;-7.468;1.156
1982-06-30;4.497;-7.466;1.156
1982-07-01;4.489;-7.465;1.155
1982-07-02;4.482;-7.463;1.154
1982-07-03;4.476;-7.46;1.152
1982-07-04;4.471;-7.457;1.151
1982-07-05;4.461;-7.455;1.15
1982-07-06;4.449;-7.453;1.149
1982-07-07;4.441;-7.451;1.148
1982-07-08;4.43;-7.449;1.147
1982-07-09;4.421;-7.447;1.147
1982-07-10;4.407;-7.444;1.146
1982-07-11;4.398;-7.442;1.145
1982-07-12;4.387;-7.439;1.144
1982-07-13;4.375;-7.438;1.143
1982-07-14;4.362;-7.436;1.142
1982-07-15;4.352;-7.434;1.14
1982-07-16;4.338;-7.431;1.14
1982-07-17;4.327;-7.43;1.138
1982-07-18;4.313;-7.427;1.137
1982-07-19;4.304;-7.425;1.136
1982-07-20;4.298;-7.423;1.135
1982-07-21;4.288;-7.421;1.134
1982-07-22;4.279;-7.42;1.133
1982-07-23;4.27;-7.418;1.132
1982-07-24;4.256;-7.415;1.131
1982-07-25;4.246;-7.413;1.13
1982-07-26;4.24;-7.41;1.13
1982-07-27;4.231;-7.408;1.129
1982-07-28;4.221;-7.406;1.128
1982-07-29;4.21;-7.404;1.127
1982-07-30;4.2;-7.402;1.126
1982-07-31;4.192;-7.401;1.126
1982-08-01;4.179;-7.398;1.125
1982-08-02;4.172;-7.397;1.124
1982-08-03;4.163;-7.394;1.123
1982-08-04;4.149;-7.391;1.122
1982-08-05;4.142;-7.39;1.121
1982-08-06;4.129;-7.387;1.12
1982-08-07;4.117;-7.385;1.119
1982-08-08;4.112;-7.383;1.119
1982-08-09;4.102;-7.38;1.117
1982-08-10;4.089;-7.377;1.117
1982-08-11;4.076;-7.375;1.116
1982-08-12;4.067;-7.373;1.114
1982-08-13;4.06;-7.372;1.114
1982-08-14;4.049;-7.369;1.113
1982-08-15;4.038;-7.367;1.111
1982-08-16;4.024;-7.365;1.11
1982-08-17;4.01;-7.362;1.11
1982-08-18;3.998;-7.361;1.108
1982-08-19;3.989;-7.359;1.108
1982-08-20;3.978;-7.356;1.106
1982-08-21;3.97;-7.355;1.105
1982-08-22;3.962;-7.352;1.104
1982-08-23;3.951;-7.351;1.103
1982-08-24;3.937;-7.349;1.102
1982-08-25;3.923;-7.348;1.101
1982-08-26;3.908;-7.346;1.1
1982-08-27;3.899;-7.344;1.099
1982-08-28;3.889;-7.341;1.098
1982-08-29;3.874;-7.34;1.098
1982-08-30;3.865;-7.338;1.097
1982-08-31;3.851;-7.335;1.096
1982-09-01;3.837;-7.333;1.094
1982-09-02;3.831;-7.331;1.094
1982-09-03;3.822;-7.329;1.092
1982-09-04;3.808;-7.326;1.092
1982-09-05;3.802;-7.324;1.091
1982-09-06;3.797;-7.321;1.09
1982-09-07;3.788;-7.32;1.089
1982-09-08;3.776;-7.318;1.087
1982-09-09;3.762;-7.317;1.087
1982-09-10;3.75;-7.315;1.085
1982-09-11;3.736;-7.313;1.085
1982-09-12;3.724;-7.312;1.083
1982-09-13;3.713;-7.31;1.083
1982-09-14;3.708;-7.308;1.082
1982-09-15;3.694;-7.306;1.08
1982-09-16;3.686;-7.304;1.08
1982-09-17;3.673;-7.302;1.078
1982-09-18;3.659;-7.3;1.078
1982-09-19;3.648;-7.297;1.077
1982-09-20;3.633;-7.295;1.076
1982-09-21;3.626;-7.292;1.076
1982-09-22;3.613;-7.291;1.075
1982-09-23;3.607;-7.29;1.074
1982-09-24;3.594;-7.288;1.073
1982-09-25;3.586;-7.286;1.073
1982-09-26;3.571;-7.283;1.072
1982-09-27;3.558;-7.282;1.071
1982-09-28;3.549;-7.279;1.069
1982-09-29;3.537;-7.277;1.069
1982-09-30;3.525;-7.275;1.068
1982-10-01;3.512;-7.273;1.067
1982-10-02;3.498;-7.271;1.066
1982-10-03;3.489;-7.269;1.065
1982-10-04;3.476;-7.267;1.064
1982-10-05;3.462;-7.265;1.064
1982-10-06;3.455;-7.262;1.062
1982-10-07;3.446;-7.261;1.062
1982-10-08;3.433;-7.26;1.061
1982-10-09;3.422;-7.258;1.06
1982-10-10;3.412;-7.256;1.059
1982-10-11;3.401;-7.254;1.058
1982-10-12;3.392;-7.252;1.058
1982-10-13;3.382;-7.251;1.056
1982-10-14;3.373;-7.25;1.055
1982-10-15;3.36;-7.248;1.054
1982-10-16;3.348;-7.245;1.053
1982-10-17;3.335;-7.243;1.052
1982-10-18;3.328;-7.241;1.052
1982-10-19;3.314;-7.239;1.05
1982-10-20;3.303;-7.237;1.05
1982-10-21;3.288;-7.235;1.049
1982-10-22;3.275;-7.234;1.048
1982-10-23;3.263;-7.232;1.047
1982-10-24;3.251;-7.23;1.046
