#CandyMountain NPP, unit 14
#date;fha;bc;ao
12.8.1986;1.36;5.233;-5.237
13.8.1986;1.359;5.226;-5.226
14.8.1986;1.358;5.22;-5.218
15.8.1986;1.357;5.209;-5.208
16.8.1986;1.356;5.203;-5.203
17.8.1986;1.355;5.197;-5.195
18.8.1986;1.353;5.184;-5.191
19.8.1986;1.352;5.173;-5.186
20.8.1986;1.351;5.161;-5.178
21.8.1986;1.35;5.147;-5.171
22.8.1986;1.348;5.139;-5.164
23.8.1986;1.348;5.129;-5.158
24.8.1986;1.347;5.119;-5.154
25.8.1986;1.346;5.111;-5.148
26.8.1986;1.345;5.103;-5.143
27.8.1986;1.343;5.094;-5.14
28.8.1986;1.342;5.079;-5.137
29.8.1986;1.341;5.065;-5.132
30.8.1986;1.339;5.058;-5.13
31.8.1986;1.338;5.05;-5.127
1.9.1986;1.338;5.04;-5.122
2.9.1986;1.336;5.034;-5.118
3.9.1986;1.336;5.024;-5.115
4.9.1986;1.335;5.013;-5.11
5.9.1986;1.334;5.0;-5.106
6.9.1986;1.333;4.991;-5.104
7.9.1986;1.332;4.984;-5.101
8.9.1986;1.331;4.978;-5.095
9.9.1986;1.33;4.967;-5.09
10.9.1986;1.329;4.957;-5.086
11.9.1986;1.329;4.95;-5.082
12.9.1986;1.328;4.935;-5.077
13.9.1986;1.327;4.923;-5.075
14.9.1986;1.326;4.916;-5.071
15.9.1986;1.325;4.907;-5.068
16.9.1986;1.324;4.898;-5.064
17.9.1986;1.322;4.888;-5.061
18.9.1986;1.322;4.876;-5.057
19.9.1986;1.321;4.866;-5.056
20.9.1986;1.32;4.858;-5.053
21.9.1986;1.319;4.846;-5.051
22.9.1986;1.318;4.836;-5.047
23.9.1986;1.317;4.83;-5.043
24.9.1986;1.316;4.822;-5.041
25.9.1986;1.315;4.813;-5.036
26.9.1986;1.314;4.801;-5.032
27.9.1986;1.313;4.787;-5.029
28.9.1986;1.312;4.777;-5.026
29.9.1986;1.311;4.765;-5.023
30.9.1986;1.31;4.75;-5.02
1.10.1986;1.308;4.737;-5.016
2.10.1986;1.308;4.73;-5.012
3.10.1986;1.307;4.722;-5.01
