#Atlantis NPP, unit 14
#date;ao;fha;bc
05/20/1998;-5.45;1.348;6.82
05/21/1998;-5.438;1.346;6.813
05/22/1998;-5.431;1.345;6.803
05/23/1998;-5.424;1.344;6.79
05/24/1998;-5.415;1.343;6.783
05/25/1998;-5.41;1.342;6.77
05/26/1998;-5.404;1.341;6.761
05/27/1998;-5.397;1.34;6.754
05/28/1998;-5.39;1.338;6.743
05/29/1998;-5.385;1.337;6.734
05/30/1998;-5.381;1.336;6.729
05/31/1998;-5.376;1.335;6.719
06/01/1998;-5.372;1.334;6.713
06/02/1998;-5.368;1.333;6.707
06/03/1998;-5.365;1.332;6.697
06/04/1998;-5.361;1.331;6.69
06/05/1998;-5.356;1.33;6.678
06/06/1998;-5.351;1.328;6.669
06/07/1998;-5.349;1.327;6.657
06/08/1998;-5.345;1.326;6.649
06/09/1998;-5.341;1.325;6.641
06/10/1998;-5.335;1.324;6.633
06/11/1998;-5.333;1.323;6.624
06/12/1998;-5.329;1.322;6.614
06/13/1998;-5.325;1.321;6.608
06/14/1998;-5.321;1.32;6.597
06/15/1998;-5.317;1.318;6.587
06/16/1998;-5.315;1.317;6.581
06/17/1998;-5.312;1.316;6.573
06/18/1998;-5.31;1.315;6.56
06/19/1998;-5.305;1.314;6.547
06/20/1998;-5.3;1.314;6.533
06/21/1998;-5.297;1.312;6.527
06/22/1998;-5.295;1.312;6.52
06/23/1998;-5.293;1.311;6.508
06/24/1998;-5.289;1.31;6.494
06/25/1998;-5.287;1.309;6.482
06/26/1998;-5.282;1.308;6.469
06/27/1998;-5.281;1.307;6.46
06/28/1998;-5.276;1.306;6.454
06/29/1998;-5.274;1.305;6.44
06/30/1998;-5.271;1.305;6.435
07/01/1998;-5.268;1.303;6.425
07/02/1998;-5.264;1.302;6.413
07/03/1998;-5.262;1.301;6.401
07/04/1998;-5.257;1.3;6.394
07/05/1998;-5.253;1.299;6.388
07/06/1998;-5.251;1.298;6.381
07/07/1998;-5.249;1.297;6.373
07/08/1998;-5.246;1.296;6.36
07/09/1998;-5.244;1.295;6.354
07/10/1998;-5.24;1.294;6.346
07/11/1998;-5.235;1.293;6.337
07/12/1998;-5.233;1.293;6.332
07/13/1998;-5.229;1.292;6.321
07/14/1998;-5.225;1.291;6.313
07/15/1998;-5.223;1.29;6.304
07/16/1998;-5.219;1.289;6.296
07/17/1998;-5.216;1.288;6.284
07/18/1998;-5.214;1.287;6.273
07/19/1998;-5.211;1.286;6.26
07/20/1998;-5.208;1.285;6.249
07/21/1998;-5.205;1.283;6.24
07/22/1998;-5.201;1.282;6.227
07/23/1998;-5.2;1.281;6.218
07/24/1998;-5.198;1.28;6.208
07/25/1998;-5.194;1.279;6.197
07/26/1998;-5.193;1.278;6.183
07/27/1998;-5.189;1.277;6.172
07/28/1998;-5.186;1.277;6.166
07/29/1998;-5.184;1.276;6.155
07/30/1998;-5.181;1.275;6.145
07/31/1998;-5.179;1.273;6.138
08/01/1998;-5.175;1.273;6.132
08/02/1998;-5.173;1.271;6.118
08/03/1998;-5.17;1.27;6.104
08/04/1998;-5.166;1.27;6.093
08/05/1998;-5.163;1.269;6.082
08/06/1998;-5.16;1.267;6.072
08/07/1998;-5.159;1.266;6.065
08/08/1998;-5.156;1.265;6.056
