#Disneyland NPP, unit 6
#date;fha;ao;bc
1987-01-15;1.379;-6.238;6.338
1987-01-16;1.378;-6.223;6.33
1987-01-17;1.376;-6.218;6.324
1987-01-18;1.376;-6.21;6.31
1987-01-19;1.375;-6.204;6.303
1987-01-20;1.374;-6.2;6.293
1987-01-21;1.372;-6.193;6.286
1987-01-22;1.371;-6.189;6.272
1987-01-23;1.371;-6.184;6.259
1987-01-24;1.37;-6.18;6.246
1987-01-25;1.369;-6.177;6.236
1987-01-26;1.368;-6.171;6.221
1987-01-27;1.367;-6.165;6.208
1987-01-28;1.366;-6.162;6.198
1987-01-29;1.365;-6.156;6.187
1987-01-30;1.364;-6.152;6.181
1987-01-31;1.363;-6.148;6.168
1987-02-01;1.363;-6.144;6.153
1987-02-02;1.362;-6.141;6.142
1987-02-03;1.361;-6.138;6.137
1987-02-04;1.36;-6.132;6.124
1987-02-05;1.359;-6.13;6.112
1987-02-06;1.358;-6.124;6.105
1987-02-07;1.358;-6.12;6.091
1987-02-08;1.356;-6.116;6.079
1987-02-09;1.356;-6.113;6.065
1987-02-10;1.354;-6.108;6.052
1987-02-11;1.353;-6.106;6.046
1987-02-12;1.353;-6.101;6.035
1987-02-13;1.352;-6.097;6.021
1987-02-14;1.35;-6.093;6.013
1987-02-15;1.35;-6.088;6.0
1987-02-16;1.348;-6.085;5.995
1987-02-17;1.348;-6.082;5.98
1987-02-18;1.346;-6.077;5.974
1987-02-19;1.346;-6.074;5.968
1987-02-20;1.344;-6.07;5.959
1987-02-21;1.343;-6.066;5.945
1987-02-22;1.342;-6.062;5.932
1987-02-23;1.341;-6.057;5.918
1987-02-24;1.34;-6.055;5.905
1987-02-25;1.339;-6.053;5.893
1987-02-26;1.338;-6.048;5.881
1987-02-27;1.337;-6.045;5.875
1987-02-28;1.336;-6.043;5.869
1987-03-01;1.335;-6.04;5.857
1987-03-02;1.334;-6.037;5.843
1987-03-03;1.333;-6.034;5.835
1987-03-04;1.332;-6.03;5.828
1987-03-05;1.331;-6.027;5.816
1987-03-06;1.33;-6.024;5.805
1987-03-07;1.329;-6.02;5.796
1987-03-08;1.328;-6.017;5.787
1987-03-09;1.328;-6.016;5.781
1987-03-10;1.327;-6.014;5.767
1987-03-11;1.326;-6.01;5.755
1987-03-12;1.324;-6.008;5.749
1987-03-13;1.324;-6.005;5.741
1987-03-14;1.323;-6.002;5.729
1987-03-15;1.322;-5.999;5.716
1987-03-16;1.321;-5.995;5.704
1987-03-17;1.32;-5.993;5.696
1987-03-18;1.318;-5.989;5.684
1987-03-19;1.317;-5.987;5.675
1987-03-20;1.316;-5.984;5.664
1987-03-21;1.315;-5.981;5.654
1987-03-22;1.315;-5.979;5.639
1987-03-23;1.314;-5.976;5.63
1987-03-24;1.314;-5.972;5.623
1987-03-25;1.312;-5.969;5.615
1987-03-26;1.311;-5.966;5.603
1987-03-27;1.31;-5.964;5.588
1987-03-28;1.309;-5.961;5.575
1987-03-29;1.308;-5.959;5.566
1987-03-30;1.307;-5.957;5.558
1987-03-31;1.306;-5.955;5.553
1987-04-01;1.305;-5.952;5.538
1987-04-02;1.305;-5.949;5.53
1987-04-03;1.304;-5.947;5.52
1987-04-04;1.304;-5.944;5.51
1987-04-05;1.302;-5.942;5.504
1987-04-06;1.301;-5.938;5.49
1987-04-07;1.301;-5.936;5.476
1987-04-08;1.299;-5.934;5.463
1987-04-09;1.298;-5.933;5.454
1987-04-10;1.297;-5.929;5.445
1987-04-11;1.295;-5.926;5.436
1987-04-12;1.294;-5.924;5.43
1987-04-13;1.294;-5.922;5.424
1987-04-14;1.293;-5.919;5.412
1987-04-15;1.291;-5.915;5.405
1987-04-16;1.291;-5.914;5.399
1987-04-17;1.29;-5.911;5.389
1987-04-18;1.289;-5.909;5.382
1987-04-19;1.288;-5.907;5.375
1987-04-20;1.286;-5.905;5.369
1987-04-21;1.285;-5.901;5.356
1987-04-22;1.284;-5.898;5.35
1987-04-23;1.283;-5.895;5.338
1987-04-24;1.282;-5.893;5.331
1987-04-25;1.281;-5.891;5.321
1987-04-26;1.279;-5.89;5.312
1987-04-27;1.279;-5.887;5.302
1987-04-28;1.278;-5.886;5.292
1987-04-29;1.277;-5.884;5.278
1987-04-30;1.276;-5.881;5.267
1987-05-01;1.274;-5.879;5.252
1987-05-02;1.273;-5.876;5.245
1987-05-03;1.272;-5.873;5.231
1987-05-04;1.271;-5.871;5.221
1987-05-05;1.27;-5.868;5.206
1987-05-06;1.269;-5.865;5.195
1987-05-07;1.268;-5.863;5.185
1987-05-08;1.267;-5.861;5.17
1987-05-09;1.267;-5.859;5.158
1987-05-10;1.266;-5.857;5.146
1987-05-11;1.265;-5.855;5.135
1987-05-12;1.264;-5.853;5.125
1987-05-13;1.263;-5.851;5.115
1987-05-14;1.261;-5.849;5.109
1987-05-15;1.26;-5.846;5.103
1987-05-16;1.258;-5.843;5.096
1987-05-17;1.257;-5.842;5.089
1987-05-18;1.256;-5.84;5.083
1987-05-19;1.255;-5.837;5.07
1987-05-20;1.254;-5.835;5.065
1987-05-21;1.253;-5.833;5.053
1987-05-22;1.252;-5.83;5.045
1987-05-23;1.251;-5.827;5.034
1987-05-24;1.251;-5.824;5.026
1987-05-25;1.249;-5.823;5.012
1987-05-26;1.249;-5.821;5.003
1987-05-27;1.248;-5.819;4.996
1987-05-28;1.247;-5.816;4.991
1987-05-29;1.246;-5.812;4.98
1987-05-30;1.245;-5.81;4.965
1987-05-31;1.244;-5.808;4.958
1987-06-01;1.243;-5.807;4.947
1987-06-02;1.243;-5.805;4.936
1987-06-03;1.241;-5.803;4.931
1987-06-04;1.241;-5.8;4.917
1987-06-05;1.24;-5.797;4.912
1987-06-06;1.239;-5.793;4.898
1987-06-07;1.238;-5.791;4.884
1987-06-08;1.237;-5.789;4.879
1987-06-09;1.236;-5.786;4.873
1987-06-10;1.234;-5.784;4.859
1987-06-11;1.234;-5.782;4.851
1987-06-12;1.232;-5.781;4.843
1987-06-13;1.232;-5.778;4.831
1987-06-14;1.231;-5.776;4.817
1987-06-15;1.23;-5.773;4.81
1987-06-16;1.229;-5.772;4.804
1987-06-17;1.228;-5.769;4.791
1987-06-18;1.227;-5.768;4.777
1987-06-19;1.226;-5.766;4.763
1987-06-20;1.226;-5.764;4.748
1987-06-21;1.225;-5.761;4.739
1987-06-22;1.223;-5.759;4.728
1987-06-23;1.222;-5.756;4.722
1987-06-24;1.221;-5.754;4.717
1987-06-25;1.22;-5.751;4.71
1987-06-26;1.219;-5.75;4.704
1987-06-27;1.219;-5.748;4.699
1987-06-28;1.218;-5.745;4.687
1987-06-29;1.217;-5.744;4.682
1987-06-30;1.216;-5.741;4.671
1987-07-01;1.215;-5.74;4.662
1987-07-02;1.214;-5.738;4.652
1987-07-03;1.213;-5.736;4.64
1987-07-04;1.213;-5.734;4.632
1987-07-05;1.212;-5.732;4.617
1987-07-06;1.21;-5.73;4.605
1987-07-07;1.209;-5.729;4.596
1987-07-08;1.208;-5.727;4.587
1987-07-09;1.207;-5.725;4.58
1987-07-10;1.206;-5.722;4.565
1987-07-11;1.205;-5.719;4.556
1987-07-12;1.204;-5.717;4.544
1987-07-13;1.204;-5.716;4.532
1987-07-14;1.203;-5.714;4.519
1987-07-15;1.202;-5.712;4.513
1987-07-16;1.201;-5.711;4.501
1987-07-17;1.2;-5.708;4.493
1987-07-18;1.199;-5.705;4.486
1987-07-19;1.198;-5.704;4.473
1987-07-20;1.197;-5.702;4.461
1987-07-21;1.196;-5.7;4.452
1987-07-22;1.195;-5.697;4.439
1987-07-23;1.194;-5.696;4.426
1987-07-24;1.194;-5.694;4.419
1987-07-25;1.193;-5.691;4.411
1987-07-26;1.191;-5.69;4.399
1987-07-27;1.19;-5.687;4.391
1987-07-28;1.189;-5.685;4.381
1987-07-29;1.189;-5.684;4.372
1987-07-30;1.188;-5.68;4.36
1987-07-31;1.188;-5.678;4.348
1987-08-01;1.186;-5.675;4.343
1987-08-02;1.185;-5.674;4.334
1987-08-03;1.184;-5.671;4.328
1987-08-04;1.183;-5.67;4.315
1987-08-05;1.182;-5.668;4.308
1987-08-06;1.182;-5.665;4.297
1987-08-07;1.181;-5.664;4.29
1987-08-08;1.18;-5.662;4.278
1987-08-09;1.178;-5.66;4.264
1987-08-10;1.178;-5.657;4.259
1987-08-11;1.177;-5.654;4.25
1987-08-12;1.176;-5.653;4.241
1987-08-13;1.174;-5.65;4.227
