#CandyMountain NPP, unit 3
#date;fha;ao;bc
18.9.1985;1.378;-6.414;5.629
19.9.1985;1.377;-6.401;5.619
20.9.1985;1.376;-6.392;5.609
21.9.1985;1.375;-6.386;5.599
22.9.1985;1.374;-6.38;5.592
23.9.1985;1.373;-6.373;5.578
24.9.1985;1.372;-6.366;5.573
25.9.1985;1.371;-6.36;5.562
26.9.1985;1.37;-6.354;5.555
27.9.1985;1.369;-6.352;5.54
28.9.1985;1.368;-6.344;5.532
29.9.1985;1.367;-6.34;5.524
30.9.1985;1.366;-6.334;5.515
1.10.1985;1.365;-6.328;5.5
2.10.1985;1.364;-6.325;5.488
3.10.1985;1.363;-6.32;5.473
4.10.1985;1.362;-6.318;5.464
5.10.1985;1.361;-6.312;5.453
6.10.1985;1.36;-6.308;5.448
7.10.1985;1.358;-6.305;5.437
8.10.1985;1.357;-6.301;5.429
9.10.1985;1.356;-6.296;5.418
10.10.1985;1.355;-6.292;5.412
11.10.1985;1.354;-6.286;5.404
12.10.1985;1.353;-6.281;5.395
13.10.1985;1.352;-6.277;5.386
14.10.1985;1.351;-6.274;5.371
15.10.1985;1.349;-6.272;5.357
16.10.1985;1.349;-6.269;5.343
17.10.1985;1.347;-6.267;5.33
18.10.1985;1.346;-6.263;5.322
19.10.1985;1.345;-6.26;5.308
20.10.1985;1.344;-6.255;5.299
21.10.1985;1.343;-6.251;5.292
22.10.1985;1.343;-6.249;5.284
23.10.1985;1.342;-6.247;5.274
24.10.1985;1.341;-6.245;5.268
25.10.1985;1.341;-6.241;5.259
26.10.1985;1.339;-6.237;5.25
27.10.1985;1.338;-6.235;5.235
28.10.1985;1.337;-6.232;5.223
29.10.1985;1.336;-6.227;5.217
30.10.1985;1.335;-6.223;5.212
31.10.1985;1.334;-6.219;5.205
1.11.1985;1.333;-6.215;5.194
2.11.1985;1.331;-6.212;5.185
3.11.1985;1.33;-6.21;5.175
4.11.1985;1.329;-6.206;5.167
5.11.1985;1.328;-6.204;5.162
6.11.1985;1.327;-6.202;5.156
7.11.1985;1.325;-6.197;5.147
8.11.1985;1.325;-6.193;5.14
9.11.1985;1.323;-6.19;5.131
10.11.1985;1.322;-6.186;5.118
11.11.1985;1.321;-6.183;5.11
12.11.1985;1.32;-6.18;5.102
13.11.1985;1.319;-6.178;5.089
14.11.1985;1.318;-6.175;5.079
15.11.1985;1.317;-6.173;5.068
16.11.1985;1.316;-6.17;5.053
17.11.1985;1.315;-6.168;5.045
