#Disneyland NPP, unit 1
#date;bc;ao;fha
09/09/1982;5.79;-6.867;1.33
09/10/1982;5.782;-6.854;1.329
09/11/1982;5.775;-6.85;1.327
09/12/1982;5.764;-6.841;1.326
09/13/1982;5.758;-6.836;1.325
09/14/1982;5.743;-6.833;1.324
09/15/1982;5.731;-6.83;1.323
09/16/1982;5.723;-6.824;1.322
09/17/1982;5.709;-6.817;1.321
09/18/1982;5.698;-6.811;1.32
09/19/1982;5.687;-6.804;1.319
09/20/1982;5.674;-6.799;1.319
09/21/1982;5.662;-6.795;1.318
09/22/1982;5.65;-6.79;1.317
09/23/1982;5.644;-6.785;1.316
09/24/1982;5.636;-6.779;1.315
09/25/1982;5.625;-6.775;1.314
09/26/1982;5.614;-6.77;1.313
09/27/1982;5.607;-6.767;1.312
09/28/1982;5.6;-6.764;1.311
09/29/1982;5.591;-6.757;1.31
09/30/1982;5.58;-6.752;1.309
10/01/1982;5.572;-6.748;1.308
10/02/1982;5.56;-6.745;1.307
10/03/1982;5.553;-6.74;1.306
10/04/1982;5.546;-6.737;1.305
10/05/1982;5.533;-6.735;1.304
10/06/1982;5.526;-6.73;1.302
10/07/1982;5.518;-6.726;1.301
10/08/1982;5.512;-6.722;1.3
10/09/1982;5.499;-6.72;1.299
10/10/1982;5.487;-6.715;1.297
10/11/1982;5.472;-6.711;1.296
10/12/1982;5.461;-6.708;1.295
10/13/1982;5.449;-6.703;1.294
10/14/1982;5.434;-6.7;1.293
10/15/1982;5.429;-6.697;1.291
10/16/1982;5.416;-6.695;1.29
10/17/1982;5.407;-6.692;1.289
10/18/1982;5.402;-6.69;1.288
10/19/1982;5.393;-6.687;1.287
10/20/1982;5.386;-6.683;1.286
10/21/1982;5.374;-6.68;1.285
10/22/1982;5.365;-6.675;1.284
10/23/1982;5.353;-6.672;1.283
10/24/1982;5.345;-6.669;1.282
10/25/1982;5.337;-6.666;1.281
10/26/1982;5.326;-6.664;1.28
10/27/1982;5.315;-6.661;1.279
10/28/1982;5.305;-6.657;1.277
10/29/1982;5.291;-6.654;1.276
10/30/1982;5.281;-6.651;1.275
10/31/1982;5.273;-6.648;1.274
11/01/1982;5.266;-6.645;1.273
11/02/1982;5.26;-6.642;1.272
11/03/1982;5.245;-6.639;1.271
11/04/1982;5.236;-6.637;1.27
11/05/1982;5.225;-6.635;1.269
11/06/1982;5.213;-6.631;1.268
11/07/1982;5.203;-6.629;1.266
11/08/1982;5.193;-6.626;1.266
11/09/1982;5.185;-6.623;1.264
11/10/1982;5.174;-6.619;1.264
11/11/1982;5.163;-6.615;1.263
11/12/1982;5.157;-6.611;1.263
11/13/1982;5.15;-6.607;1.262
11/14/1982;5.14;-6.603;1.261
11/15/1982;5.127;-6.6;1.26
11/16/1982;5.113;-6.598;1.259
11/17/1982;5.106;-6.596;1.258
11/18/1982;5.099;-6.593;1.258
11/19/1982;5.09;-6.591;1.257
11/20/1982;5.082;-6.588;1.256
11/21/1982;5.068;-6.585;1.255
11/22/1982;5.059;-6.582;1.254
11/23/1982;5.052;-6.58;1.252
11/24/1982;5.043;-6.576;1.252
11/25/1982;5.037;-6.573;1.251
11/26/1982;5.027;-6.57;1.25
11/27/1982;5.022;-6.567;1.249
11/28/1982;5.008;-6.566;1.249
11/29/1982;4.998;-6.562;1.248
11/30/1982;4.989;-6.558;1.247
12/01/1982;4.983;-6.556;1.247
12/02/1982;4.976;-6.553;1.245
12/03/1982;4.969;-6.55;1.244
12/04/1982;4.957;-6.546;1.243
12/05/1982;4.942;-6.543;1.242
12/06/1982;4.935;-6.539;1.241
12/07/1982;4.92;-6.537;1.239
12/08/1982;4.91;-6.536;1.238
12/09/1982;4.895;-6.534;1.237
12/10/1982;4.884;-6.532;1.235
12/11/1982;4.877;-6.529;1.234
12/12/1982;4.867;-6.526;1.233
12/13/1982;4.859;-6.523;1.231
12/14/1982;4.845;-6.521;1.231
12/15/1982;4.834;-6.519;1.23
12/16/1982;4.826;-6.517;1.229
12/17/1982;4.811;-6.514;1.228
12/18/1982;4.797;-6.511;1.227
12/19/1982;4.787;-6.508;1.226
12/20/1982;4.779;-6.506;1.225
12/21/1982;4.773;-6.505;1.224
12/22/1982;4.761;-6.501;1.223
12/23/1982;4.756;-6.5;1.223
12/24/1982;4.744;-6.497;1.222
12/25/1982;4.729;-6.495;1.221
12/26/1982;4.718;-6.493;1.22
12/27/1982;4.703;-6.492;1.219
