#Atlantis NPP, unit 5
#date;bc;ao;fha
02/18/1992;5.963;-6.639;1.442
02/19/1992;5.953;-6.628;1.442
02/20/1992;5.945;-6.623;1.441
02/21/1992;5.931;-6.613;1.44
02/22/1992;5.918;-6.608;1.439
02/23/1992;5.905;-6.602;1.438
02/24/1992;5.898;-6.596;1.437
02/25/1992;5.889;-6.593;1.435
02/26/1992;5.88;-6.587;1.435
02/27/1992;5.871;-6.583;1.434
02/28/1992;5.862;-6.581;1.433
02/29/1992;5.852;-6.574;1.432
03/01/1992;5.841;-6.571;1.43
03/02/1992;5.827;-6.567;1.43
03/03/1992;5.815;-6.563;1.428
03/04/1992;5.81;-6.558;1.428
03/05/1992;5.801;-6.552;1.427
03/06/1992;5.795;-6.545;1.426
03/07/1992;5.781;-6.542;1.424
03/08/1992;5.773;-6.539;1.423
03/09/1992;5.763;-6.537;1.422
03/10/1992;5.748;-6.534;1.422
03/11/1992;5.74;-6.531;1.42
03/12/1992;5.729;-6.527;1.419
03/13/1992;5.714;-6.523;1.418
03/14/1992;5.708;-6.519;1.417
03/15/1992;5.699;-6.515;1.416
03/16/1992;5.691;-6.511;1.415
03/17/1992;5.678;-6.507;1.414
03/18/1992;5.671;-6.503;1.413
03/19/1992;5.661;-6.499;1.413
03/20/1992;5.647;-6.496;1.412
03/21/1992;5.639;-6.493;1.411
03/22/1992;5.631;-6.49;1.41
03/23/1992;5.618;-6.487;1.41
03/24/1992;5.612;-6.482;1.409
03/25/1992;5.598;-6.479;1.407
03/26/1992;5.59;-6.477;1.407
03/27/1992;5.583;-6.472;1.406
03/28/1992;5.575;-6.469;1.405
03/29/1992;5.567;-6.465;1.405
03/30/1992;5.556;-6.46;1.403
03/31/1992;5.544;-6.456;1.403
04/01/1992;5.53;-6.454;1.402
04/02/1992;5.52;-6.45;1.402
04/03/1992;5.515;-6.446;1.4
04/04/1992;5.503;-6.444;1.4
04/05/1992;5.493;-6.439;1.398
04/06/1992;5.479;-6.436;1.397
04/07/1992;5.467;-6.433;1.396
04/08/1992;5.455;-6.43;1.396
04/09/1992;5.446;-6.428;1.394
04/10/1992;5.433;-6.424;1.393
04/11/1992;5.425;-6.422;1.392
04/12/1992;5.414;-6.417;1.391
04/13/1992;5.408;-6.414;1.39
04/14/1992;5.394;-6.41;1.389
04/15/1992;5.383;-6.407;1.388
04/16/1992;5.374;-6.403;1.388
04/17/1992;5.361;-6.401;1.387
04/18/1992;5.346;-6.398;1.386
04/19/1992;5.334;-6.396;1.384
04/20/1992;5.323;-6.394;1.383
04/21/1992;5.31;-6.39;1.382
04/22/1992;5.305;-6.388;1.381
04/23/1992;5.294;-6.384;1.38
04/24/1992;5.288;-6.382;1.379
04/25/1992;5.283;-6.38;1.379
04/26/1992;5.275;-6.378;1.377
04/27/1992;5.266;-6.374;1.377
04/28/1992;5.259;-6.37;1.376
04/29/1992;5.25;-6.366;1.374
04/30/1992;5.242;-6.362;1.374
05/01/1992;5.237;-6.359;1.372
05/02/1992;5.226;-6.355;1.371
05/03/1992;5.215;-6.351;1.37
05/04/1992;5.205;-6.347;1.369
05/05/1992;5.196;-6.345;1.368
05/06/1992;5.187;-6.342;1.367
05/07/1992;5.177;-6.339;1.366
05/08/1992;5.166;-6.336;1.365
05/09/1992;5.151;-6.333;1.364
05/10/1992;5.141;-6.33;1.363
