#Disneyland NPP, unit 7
#date;ao;bc;fha
1990-01-25;-6.139;5.898;1.444
1990-01-26;-6.134;5.887;1.442
1990-01-27;-6.129;5.876;1.441
1990-01-28;-6.12;5.865;1.44
1990-01-29;-6.115;5.854;1.439
1990-01-30;-6.109;5.845;1.438
1990-01-31;-6.105;5.83;1.437
1990-02-01;-6.097;5.816;1.435
1990-02-02;-6.093;5.805;1.434
1990-02-03;-6.087;5.793;1.433
1990-02-04;-6.081;5.784;1.432
1990-02-05;-6.074;5.774;1.431
1990-02-06;-6.067;5.769;1.43
1990-02-07;-6.063;5.757;1.429
1990-02-08;-6.06;5.746;1.429
1990-02-09;-6.055;5.739;1.428
1990-02-10;-6.051;5.731;1.426
1990-02-11;-6.046;5.723;1.425
1990-02-12;-6.041;5.715;1.424
1990-02-13;-6.037;5.705;1.423
1990-02-14;-6.035;5.696;1.422
1990-02-15;-6.031;5.683;1.421
1990-02-16;-6.027;5.67;1.42
1990-02-17;-6.023;5.657;1.418
1990-02-18;-6.017;5.645;1.418
1990-02-19;-6.015;5.632;1.416
1990-02-20;-6.012;5.627;1.415
1990-02-21;-6.009;5.617;1.413
1990-02-22;-6.005;5.607;1.413
1990-02-23;-6.003;5.595;1.412
1990-02-24;-5.998;5.582;1.411
1990-02-25;-5.995;5.572;1.41
1990-02-26;-5.991;5.561;1.409
1990-02-27;-5.988;5.554;1.408
1990-02-28;-5.984;5.541;1.407
1990-03-01;-5.979;5.534;1.406
1990-03-02;-5.975;5.521;1.405
1990-03-03;-5.971;5.508;1.405
1990-03-04;-5.968;5.494;1.404
1990-03-05;-5.965;5.48;1.403
1990-03-06;-5.962;5.468;1.401
1990-03-07;-5.959;5.456;1.401
1990-03-08;-5.956;5.451;1.4
1990-03-09;-5.951;5.437;1.399
1990-03-10;-5.948;5.422;1.398
1990-03-11;-5.945;5.411;1.397
1990-03-12;-5.942;5.398;1.396
1990-03-13;-5.938;5.387;1.396
1990-03-14;-5.934;5.374;1.395
1990-03-15;-5.931;5.368;1.394
1990-03-16;-5.928;5.359;1.393
1990-03-17;-5.926;5.347;1.392
1990-03-18;-5.921;5.333;1.391
1990-03-19;-5.918;5.318;1.39
1990-03-20;-5.916;5.313;1.388
1990-03-21;-5.913;5.301;1.387
1990-03-22;-5.911;5.294;1.386
1990-03-23;-5.907;5.287;1.385
1990-03-24;-5.904;5.282;1.384
1990-03-25;-5.902;5.27;1.382
1990-03-26;-5.899;5.264;1.381
1990-03-27;-5.897;5.257;1.381
1990-03-28;-5.895;5.248;1.38
1990-03-29;-5.89;5.24;1.379
1990-03-30;-5.886;5.233;1.378
1990-03-31;-5.884;5.223;1.377
1990-04-01;-5.881;5.215;1.375
1990-04-02;-5.877;5.202;1.374
1990-04-03;-5.875;5.196;1.373
1990-04-04;-5.872;5.181;1.373
1990-04-05;-5.87;5.17;1.372
1990-04-06;-5.867;5.164;1.37
1990-04-07;-5.865;5.153;1.37
1990-04-08;-5.863;5.144;1.369
1990-04-09;-5.86;5.131;1.367
1990-04-10;-5.857;5.12;1.366
1990-04-11;-5.854;5.114;1.366
1990-04-12;-5.851;5.103;1.365
1990-04-13;-5.849;5.094;1.364
1990-04-14;-5.845;5.084;1.363
1990-04-15;-5.843;5.072;1.362
1990-04-16;-5.839;5.064;1.361
1990-04-17;-5.837;5.052;1.359
1990-04-18;-5.835;5.038;1.358
1990-04-19;-5.833;5.025;1.357
1990-04-20;-5.829;5.019;1.356
1990-04-21;-5.828;5.012;1.355
1990-04-22;-5.826;5.004;1.354
1990-04-23;-5.824;4.998;1.353
