#Disneyland NPP, unit 8
#date;fha;bc;ao
19.1.1998;1.324;6.799;-6.331
20.1.1998;1.323;6.786;-6.321
21.1.1998;1.322;6.776;-6.317
22.1.1998;1.321;6.768;-6.308
23.1.1998;1.32;6.761;-6.299
24.1.1998;1.319;6.749;-6.294
25.1.1998;1.319;6.735;-6.287
26.1.1998;1.318;6.722;-6.282
27.1.1998;1.317;6.715;-6.278
28.1.1998;1.316;6.707;-6.272
29.1.1998;1.315;6.692;-6.269
30.1.1998;1.314;6.68;-6.262
31.1.1998;1.313;6.673;-6.257
1.2.1998;1.313;6.662;-6.252
2.2.1998;1.312;6.649;-6.248
3.2.1998;1.31;6.637;-6.244
4.2.1998;1.31;6.631;-6.239
5.2.1998;1.309;6.62;-6.233
6.2.1998;1.308;6.606;-6.23
7.2.1998;1.307;6.592;-6.228
8.2.1998;1.306;6.578;-6.224
9.2.1998;1.305;6.569;-6.222
10.2.1998;1.305;6.557;-6.217
11.2.1998;1.303;6.548;-6.213
12.2.1998;1.303;6.538;-6.21
13.2.1998;1.302;6.525;-6.204
14.2.1998;1.301;6.518;-6.199
15.2.1998;1.3;6.507;-6.196
16.2.1998;1.299;6.5;-6.191
17.2.1998;1.298;6.492;-6.187
18.2.1998;1.297;6.477;-6.184
19.2.1998;1.296;6.47;-6.182
20.2.1998;1.295;6.457;-6.177
21.2.1998;1.294;6.442;-6.174
22.2.1998;1.293;6.432;-6.17
23.2.1998;1.292;6.417;-6.166
24.2.1998;1.291;6.412;-6.161
25.2.1998;1.29;6.398;-6.157
26.2.1998;1.289;6.388;-6.154
27.2.1998;1.288;6.377;-6.151
28.2.1998;1.287;6.367;-6.147
1.3.1998;1.285;6.36;-6.145
2.3.1998;1.284;6.351;-6.143
3.3.1998;1.283;6.341;-6.138
4.3.1998;1.283;6.333;-6.134
5.3.1998;1.281;6.327;-6.131
6.3.1998;1.28;6.315;-6.128
7.3.1998;1.279;6.309;-6.125
8.3.1998;1.278;6.304;-6.123
9.3.1998;1.276;6.291;-6.121
10.3.1998;1.276;6.282;-6.117
11.3.1998;1.274;6.277;-6.113
12.3.1998;1.273;6.269;-6.111
13.3.1998;1.272;6.254;-6.108
14.3.1998;1.271;6.245;-6.107
15.3.1998;1.27;6.239;-6.103
16.3.1998;1.269;6.228;-6.099
17.3.1998;1.269;6.214;-6.097
18.3.1998;1.268;6.206;-6.094
19.3.1998;1.266;6.193;-6.091
20.3.1998;1.265;6.183;-6.088
21.3.1998;1.264;6.177;-6.085
22.3.1998;1.263;6.163;-6.081
23.3.1998;1.262;6.153;-6.078
24.3.1998;1.261;6.138;-6.073
25.3.1998;1.261;6.127;-6.069
26.3.1998;1.26;6.119;-6.065
27.3.1998;1.258;6.109;-6.061
28.3.1998;1.257;6.096;-6.059
29.3.1998;1.256;6.086;-6.056
30.3.1998;1.255;6.072;-6.052
31.3.1998;1.254;6.061;-6.05
1.4.1998;1.253;6.053;-6.049
2.4.1998;1.252;6.043;-6.046
3.4.1998;1.251;6.031;-6.042
4.4.1998;1.25;6.022;-6.039
5.4.1998;1.249;6.01;-6.037
6.4.1998;1.249;5.998;-6.033
7.4.1998;1.248;5.988;-6.03
8.4.1998;1.247;5.98;-6.028
9.4.1998;1.246;5.965;-6.024
10.4.1998;1.245;5.96;-6.021
11.4.1998;1.244;5.954;-6.019
12.4.1998;1.243;5.947;-6.016
13.4.1998;1.242;5.933;-6.012
14.4.1998;1.242;5.928;-6.009
15.4.1998;1.24;5.913;-6.007
16.4.1998;1.239;5.903;-6.005
17.4.1998;1.238;5.894;-6.002
18.4.1998;1.237;5.883;-6.0
19.4.1998;1.236;5.87;-5.996
20.4.1998;1.234;5.861;-5.995
21.4.1998;1.233;5.847;-5.992
22.4.1998;1.232;5.842;-5.989
23.4.1998;1.231;5.831;-5.987
24.4.1998;1.23;5.817;-5.985
25.4.1998;1.229;5.805;-5.983
26.4.1998;1.228;5.792;-5.981
27.4.1998;1.227;5.781;-5.979
28.4.1998;1.226;5.775;-5.976
29.4.1998;1.225;5.766;-5.973
30.4.1998;1.224;5.758;-5.97
1.5.1998;1.223;5.752;-5.968
2.5.1998;1.223;5.746;-5.965
3.5.1998;1.221;5.734;-5.963
4.5.1998;1.22;5.723;-5.96
5.5.1998;1.22;5.712;-5.958
6.5.1998;1.219;5.702;-5.955
7.5.1998;1.218;5.69;-5.953
8.5.1998;1.216;5.681;-5.949
9.5.1998;1.215;5.674;-5.946
10.5.1998;1.214;5.669;-5.944
11.5.1998;1.213;5.662;-5.94
12.5.1998;1.212;5.652;-5.939
13.5.1998;1.211;5.646;-5.936
14.5.1998;1.211;5.636;-5.934
15.5.1998;1.21;5.63;-5.931
16.5.1998;1.208;5.625;-5.929
17.5.1998;1.208;5.61;-5.928
18.5.1998;1.207;5.601;-5.926
19.5.1998;1.205;5.588;-5.924
20.5.1998;1.204;5.582;-5.921
21.5.1998;1.203;5.569;-5.919
22.5.1998;1.202;5.554;-5.916
23.5.1998;1.201;5.547;-5.913
24.5.1998;1.199;5.535;-5.91
25.5.1998;1.198;5.521;-5.907
26.5.1998;1.197;5.514;-5.904
27.5.1998;1.196;5.505;-5.901
28.5.1998;1.195;5.499;-5.899
29.5.1998;1.194;5.492;-5.896
30.5.1998;1.193;5.486;-5.893
31.5.1998;1.192;5.476;-5.89
1.6.1998;1.191;5.469;-5.888
2.6.1998;1.19;5.46;-5.886
3.6.1998;1.189;5.453;-5.884
4.6.1998;1.188;5.442;-5.883
5.6.1998;1.188;5.431;-5.88
6.6.1998;1.186;5.425;-5.878
7.6.1998;1.186;5.416;-5.877
8.6.1998;1.185;5.408;-5.874
9.6.1998;1.184;5.395;-5.871
10.6.1998;1.184;5.389;-5.869
11.6.1998;1.182;5.381;-5.868
12.6.1998;1.181;5.371;-5.865
13.6.1998;1.18;5.366;-5.863
14.6.1998;1.179;5.356;-5.862
15.6.1998;1.178;5.348;-5.859
16.6.1998;1.178;5.336;-5.857
17.6.1998;1.176;5.325;-5.856
18.6.1998;1.176;5.319;-5.854
19.6.1998;1.175;5.305;-5.851
20.6.1998;1.174;5.299;-5.848
21.6.1998;1.172;5.287;-5.845
22.6.1998;1.171;5.278;-5.842
23.6.1998;1.17;5.269;-5.839
24.6.1998;1.168;5.256;-5.836
25.6.1998;1.167;5.251;-5.833
26.6.1998;1.166;5.237;-5.83
27.6.1998;1.165;5.229;-5.828
28.6.1998;1.165;5.215;-5.827
29.6.1998;1.163;5.208;-5.825
30.6.1998;1.162;5.193;-5.823
1.7.1998;1.162;5.185;-5.821
2.7.1998;1.16;5.171;-5.818
3.7.1998;1.16;5.162;-5.816
4.7.1998;1.159;5.156;-5.815
5.7.1998;1.157;5.149;-5.813
6.7.1998;1.156;5.135;-5.81
7.7.1998;1.155;5.126;-5.808
8.7.1998;1.154;5.117;-5.806
9.7.1998;1.153;5.104;-5.803
10.7.1998;1.152;5.097;-5.801
11.7.1998;1.151;5.092;-5.798
12.7.1998;1.151;5.083;-5.795
13.7.1998;1.15;5.078;-5.793
14.7.1998;1.149;5.065;-5.791
15.7.1998;1.149;5.051;-5.789
16.7.1998;1.147;5.041;-5.787
17.7.1998;1.146;5.028;-5.784
18.7.1998;1.145;5.018;-5.781
19.7.1998;1.144;5.008;-5.779
20.7.1998;1.143;5.0;-5.776
21.7.1998;1.142;4.993;-5.774
22.7.1998;1.141;4.988;-5.771
23.7.1998;1.139;4.974;-5.769
24.7.1998;1.139;4.962;-5.768
25.7.1998;1.138;4.952;-5.765
26.7.1998;1.137;4.944;-5.762
27.7.1998;1.136;4.936;-5.759
28.7.1998;1.135;4.925;-5.758
29.7.1998;1.133;4.913;-5.756
30.7.1998;1.133;4.904;-5.754
31.7.1998;1.132;4.89;-5.752
1.8.1998;1.131;4.878;-5.749
2.8.1998;1.129;4.869;-5.746
3.8.1998;1.129;4.858;-5.745
4.8.1998;1.127;4.849;-5.743
5.8.1998;1.126;4.838;-5.74
6.8.1998;1.126;4.831;-5.738
7.8.1998;1.125;4.821;-5.735
