#CandyMountain NPP, unit 10
#date;ao;fha;bc
05/11/1997;-5.826;1.496;5.896
05/12/1997;-5.817;1.494;5.888
05/13/1997;-5.809;1.493;5.879
05/14/1997;-5.801;1.493;5.868
05/15/1997;-5.796;1.492;5.854
05/16/1997;-5.787;1.491;5.845
05/17/1997;-5.784;1.49;5.832
05/18/1997;-5.778;1.489;5.822
05/19/1997;-5.773;1.488;5.813
05/20/1997;-5.77;1.488;5.803
05/21/1997;-5.765;1.487;5.796
05/22/1997;-5.762;1.486;5.784
05/23/1997;-5.76;1.484;5.777
05/24/1997;-5.754;1.484;5.763
05/25/1997;-5.75;1.483;5.751
05/26/1997;-5.745;1.482;5.737
05/27/1997;-5.743;1.481;5.723
05/28/1997;-5.737;1.479;5.71
05/29/1997;-5.734;1.478;5.702
05/30/1997;-5.73;1.477;5.692
05/31/1997;-5.726;1.476;5.684
06/01/1997;-5.721;1.475;5.678
06/02/1997;-5.716;1.474;5.671
06/03/1997;-5.711;1.473;5.661
06/04/1997;-5.706;1.472;5.65
06/05/1997;-5.702;1.471;5.642
06/06/1997;-5.697;1.47;5.633
06/07/1997;-5.695;1.469;5.627
06/08/1997;-5.69;1.468;5.62
06/09/1997;-5.686;1.468;5.605
06/10/1997;-5.683;1.467;5.597
06/11/1997;-5.68;1.466;5.585
06/12/1997;-5.677;1.465;5.573
06/13/1997;-5.675;1.464;5.564
06/14/1997;-5.671;1.463;5.554
06/15/1997;-5.667;1.463;5.543
06/16/1997;-5.663;1.462;5.538
06/17/1997;-5.661;1.461;5.524
06/18/1997;-5.657;1.46;5.509
06/19/1997;-5.652;1.459;5.497
06/20/1997;-5.648;1.458;5.482
06/21/1997;-5.645;1.458;5.472
06/22/1997;-5.643;1.456;5.458
06/23/1997;-5.639;1.455;5.452
06/24/1997;-5.636;1.455;5.446
06/25/1997;-5.633;1.453;5.436
06/26/1997;-5.63;1.453;5.422
06/27/1997;-5.627;1.452;5.416
06/28/1997;-5.625;1.451;5.41
06/29/1997;-5.623;1.45;5.397
06/30/1997;-5.62;1.449;5.392
07/01/1997;-5.617;1.448;5.378
07/02/1997;-5.615;1.447;5.366
07/03/1997;-5.611;1.446;5.356
07/04/1997;-5.61;1.445;5.342
07/05/1997;-5.607;1.444;5.336
07/06/1997;-5.605;1.443;5.33
07/07/1997;-5.601;1.442;5.318
07/08/1997;-5.597;1.441;5.311
07/09/1997;-5.594;1.441;5.302
07/10/1997;-5.591;1.44;5.293
07/11/1997;-5.587;1.439;5.284
07/12/1997;-5.585;1.438;5.274
07/13/1997;-5.582;1.438;5.267
07/14/1997;-5.58;1.437;5.254
07/15/1997;-5.577;1.435;5.248
07/16/1997;-5.574;1.435;5.239
07/17/1997;-5.571;1.433;5.233
07/18/1997;-5.567;1.432;5.227
07/19/1997;-5.564;1.431;5.214
07/20/1997;-5.561;1.43;5.206
07/21/1997;-5.557;1.429;5.196
07/22/1997;-5.553;1.428;5.188
07/23/1997;-5.552;1.427;5.179
07/24/1997;-5.549;1.426;5.165
07/25/1997;-5.546;1.425;5.157
07/26/1997;-5.543;1.424;5.148
07/27/1997;-5.541;1.424;5.134
07/28/1997;-5.537;1.423;5.124
07/29/1997;-5.536;1.422;5.113
07/30/1997;-5.533;1.421;5.104
07/31/1997;-5.531;1.42;5.091
08/01/1997;-5.53;1.419;5.086
08/02/1997;-5.527;1.419;5.079
08/03/1997;-5.525;1.417;5.065
08/04/1997;-5.522;1.416;5.054
08/05/1997;-5.519;1.415;5.046
08/06/1997;-5.516;1.414;5.033
08/07/1997;-5.514;1.412;5.022
08/08/1997;-5.511;1.412;5.016
08/09/1997;-5.51;1.411;5.006
08/10/1997;-5.508;1.409;5.0
