   0    0       0.9480
   0   10       0.9980
   0    1       0.9485
   0    2       0.9500
   0    3       0.9525
   0    4       0.9560
   0    5       0.9605
   0    6       0.9660
   0    7       0.9725
   0    8       0.9800
   0    9       0.9885
  10    0       0.9580
  10   10       1.0080
  10    1       0.9585
  10    2       0.9600
  10    3       0.9625
  10    4       0.9660
  10    5       0.9705
  10    6       0.9760
  10    7       0.9825
  10    8       0.9900
  10    9       0.9985
   1    0       0.9490
   1   10       0.9990
   1    1       0.9495
   1    2       0.9510
   1    3       0.9535
   1    4       0.9570
   1    5       0.9615
   1    6       0.9670
   1    7       0.9735
   1    8       0.9810
   1    9       0.9895
   2    0       0.9500
   2   10       1.0000
   2    1       0.9505
   2    2       0.9520
   2    3       0.9545
   2    4       0.9580
   2    5       0.9625
   2    6       0.9680
   2    7       0.9745
   2    8       0.9820
   2    9       0.9905
   3    0       0.9510
   3   10       1.0010
   3    1       0.9515
   3    2       0.9530
   3    3       0.9555
   3    4       0.9590
   3    5       0.9635
   3    6       0.9690
   3    7       0.9755
   3    8       0.9830
   3    9       0.9915
   4    0       0.9520
   4   10       1.0020
   4    1       0.9525
   4    2       0.9540
   4    3       0.9565
   4    4       0.9600
   4    5       0.9645
   4    6       0.9700
   4    7       0.9765
   4    8       0.9840
   4    9       0.9925
   5    0       0.9530
   5   10       1.0030
   5    1       0.9535
   5    2       0.9550
   5    3       0.9575
   5    4       0.9610
   5    5       0.9655
   5    6       0.9710
   5    7       0.9775
   5    8       0.9850
   5    9       0.9935
   6    0       0.9540
   6   10       1.0040
   6    1       0.9545
   6    2       0.9560
   6    3       0.9585
   6    4       0.9620
   6    5       0.9665
   6    6       0.9720
   6    7       0.9785
   6    8       0.9860
   6    9       0.9945
   7    0       0.9550
   7   10       1.0050
   7    1       0.9555
   7    2       0.9570
   7    3       0.9595
   7    4       0.9630
   7    5       0.9675
   7    6       0.9730
   7    7       0.9795
   7    8       0.9870
   7    9       0.9955
   8    0       0.9560
   8   10       1.0060
   8    1       0.9565
   8    2       0.9580
   8    3       0.9605
   8    4       0.9640
   8    5       0.9685
   8    6       0.9740
   8    7       0.9805
   8    8       0.9880
   8    9       0.9965
   9    0       0.9570
   9   10       1.0070
   9    1       0.9575
   9    2       0.9590
   9    3       0.9615
   9    4       0.9650
   9    5       0.9695
   9    6       0.9750
   9    7       0.9815
   9    8       0.9890
   9    9       0.9975
