2010-01-01    	02e442  2.1645e-01
2010-01-01   0850c6	  5.6855e-02
01.01.2010	   42f7f3  7.8969e-01
2010-01-01 	 01d8e3		 	0.42132740800147994
2010-01-02      3bcf08	3.1990e-01
02.01.2010 	 	309d6c  8.5015e-01
2010-01-02   3aa9e9  0.40929523403353263
2010-01-02	 :  6778c4  	 0.3528293226012551
2010-01-02       24c8c9	 	0.3663779615363033
2010-01-02     93bf5e 	0.08536327241288988
2010-01-02   704f01 9.8599e-02
03. 01. 2010   2b3d13  		9.3473e-01
03.01.2010  	 1a39e8  8.1787e-01
2010-01-03    		 72163b	2.6516e-01
01/03/2010	 	   	 51e14d  0.5284334649174707
03. 01. 2010     	 55dc26 9.4172e-01
2010-01-03	:   928af3 0.026996821933037096
2010-01-03	     1c62f9 0.33332910331727894
2010-01-04	  5fb586    0.1269505436351107
04. 01. 2010      92b474 9.6090e-01
04. 01. 2010  	  74dd66	  	0.9960575017775801
04.01.2010	  1a3770 		0.7997413179885775
2010-01-04     891e9d  	1.0480e-01
01/05/2010     4c20e4  6.0667e-01
2010-01-05  3e0b2a		 	2.1880e-01
05. 01. 2010   	   	65624d   8.6995e-01
2010-01-06 	 0a2e07	   6.2251e-02
2010-01-06			 :  	 8ccb25  1.5833e-01
2010-01-07			    263ce6	 3.6022e-01
2010-01-07      3a3873  	 3.4152e-02
01/07/2010   	    8d016d  6.9101e-01
2010-01-07  	: 0fd6da 3.8037e-01
2010-01-07   	 66ad2e	5.7756e-02
07.01.2010    8d016d   8.3135e-01
07.01.2010  	67c917 7.2598e-01
07.01.2010      1310a4 8.4996e-01
2010-01-07    5dbb30 3.5246e-01
2010-01-07 		  45f414    9.4493e-02
2010-01-08  	 866add	 4.7962e-01
01/08/2010 	 59fc70 5.9730e-01
08. 01. 2010   6404ed   0.8836564504649241
01/08/2010	   676059  	 6.1145e-01
2010-01-08  2333c3   4.7712e-01
2010-01-08	: 	39ba75  	 0.10160394698275355
2010-01-08     	 4107de 3.5956e-01
