0.01	0.171	0.1571	0.717	
0.02	0.3582	0.3384	1.1721	
0.03	0.5059	0.48	0.8381	
0.04	0.6792	0.6375	0.2264	
0.05	0.7838	0.7488	-0.3838	
0.06	0.878	1.0196	-0.5466	
0.07	0.9825	1.0849	-0.0983	
0.08	1.2694	1.2946	0.7782	
0.09	1.3183	1.2491	1.5869	
0.1	1.5189	1.4474	1.8124	
0.11	1.3533	1.4704	1.1798	
0.12	1.4301	1.6991	0.6274	
0.13	1.6195	1.7264	0.0053	
0.14	1.7272	1.832	-0.0554	
0.15	1.7113	1.6071	0.5194	
0.16	1.6752	1.6142	1.2457	
0.17	1.7713	1.8147	2.0449	
0.18	1.5604	1.6625	2.0427	
0.19	1.5779	1.7605	1.5416	
0.2	1.4798	1.5638	0.6861	
0.21	1.5347	1.5291	0.2083	
0.22	1.3293	1.3826	0.2223	
0.23	1.2694	1.5389	0.8098	
0.24	1.213	1.4761	1.6376	
0.25	1.1702	1.1872	2.1041	
0.26	1.1996	1.2591	1.9833	
0.27	1.0007	1.0231	1.5356	
0.28	0.9061	0.9893	0.6757	
0.29	0.855	0.9106	0.1699	
0.3	0.7045	0.8878	0.2742	
0.31	0.7404	0.8179	0.9344	
0.32	0.6609	0.7065	1.5459	
0.33	0.5605	0.6373	2.1382	
0.34	0.5777	0.6249	1.7982	
0.35	0.4968	0.5387	1.0415	
0.36	0.5245	0.4875	0.3106	
0.37	0.5191	0.4608	-0.1168	
0.38	0.5671	0.4694	0.0852	
0.39	0.6123	0.5577	0.6791	
0.4	0.5661	0.5032	1.3674	
0.41	0.7121	0.5789	1.5748	
0.42	0.7969	0.6137	1.462	
0.43	0.8068	0.7069	0.5796	
0.44	0.9927	0.7541	-0.2048	
0.45	1.0387	0.7836	-0.5057	
0.46	1.0552	0.9277	-0.2631	
0.47	1.316	1.0326	0.4441	
0.48	1.2754	1.1792	1.0106	
0.49	1.4048	1.2293	1.2632	
0.5	1.5189	1.2735	0.6759	
0.51	1.6376	1.3325	-0.0721	
0.52	2.0741	1.6012	-0.7934	
0.53	2.2162	1.587	-0.9045	
0.54	2.226	1.7393	-0.6603	
0.55	2.1306	1.7885	0.1142	
0.56	2.6582	1.9613	0.6507	
0.57	2.3786	2.097	0.7646	
0.58	2.7278	2.0768	0.1834	
0.59	2.8956	2.2511	-0.6732	
0.6	2.7343	2.3591	-1.3107	
0.61	2.5985	2.191	-1.3103	
0.62	2.6043	2.2012	-0.7931	
0.63	3.0327	2.4188	-0.0436	
0.64	2.7427	2.2132	0.4788	
0.65	3.0421	2.3817	0.4363	
0.66	2.728	2.6171	-0.1584	
0.67	2.822	2.5784	-0.8639	
0.68	2.9908	2.197	-1.3844	
0.69	2.8666	2.2585	-1.3901	
0.7	2.7532	2.3959	-0.8171	
0.71	2.6689	2.0274	0.0257	
0.72	2.4973	2.0152	0.4894	
0.73	2.1303	1.901	0.337	
0.74	2.2257	1.8623	-0.2429	
0.75	1.955	1.553	-1.1006	
0.76	1.7966	1.4383	-1.4162	
0.77	1.7485	1.2877	-1.0952	
0.78	1.4587	1.2893	-0.4661	
0.79	1.3337	1.1423	0.3387	
0.8	1.3965	0.9595	0.72	
0.81	1.0998	0.7021	0.5467	
0.82	1.1568	0.5602	-0.0955	
0.83	1.021	0.5032	-0.7817	
0.84	0.8377	0.3721	-1.0439	
0.85	0.6966	0.1949	-0.697	
0.86	0.7038	0.1	0.1482	
0.87	0.655	-0.0003	0.9323	
0.88	0.5479	-0.0864	1.1964	
0.89	0.4839	-0.1614	0.8514	
0.9	0.4926	-0.2329	0.2389	
0.91	0.4322	-0.2746	-0.3311	
0.92	0.4627	-0.3163	-0.4504	
0.93	0.4595	-0.3488	0.0191	
0.94	0.4785	-0.3587	0.8277	
0.95	0.6055	-0.3561	1.4902	
0.96	0.6472	-0.3441	1.6971	
0.97	0.6748	-0.2986	1.5325	
0.98	0.7692	-0.2258	0.7271	
