0.01	0.4226	0.2657	0.2051	1.2769	
0.02	0.9689	0.4757	0.3563	1.9219	
0.03	1.201	0.7141	0.5531	1.5291	
0.04	1.5892	1.0755	0.6669	0.6424	
0.05	1.7673	1.2209	0.8076	-0.1744	
0.06	1.5594	1.4342	1.0839	-0.4611	
0.07	1.658	1.487	1.1727	-0.2659	
0.08	1.3176	1.5195	1.3487	0.1508	
0.09	1.1328	1.8248	1.2851	0.2	
0.1	0.9522	1.8269	1.4803	-0.2627	
0.11	0.6036	1.748	1.485	-0.905	
0.12	0.3934	1.6806	1.3563	-1.3693	
0.13	0.2653	1.7257	1.5376	-0.87	
0.14	0.2364	1.5343	1.351	0.1732	
0.15	0.2575	1.4051	1.2876	1.276	
0.16	0.3884	1.4474	1.3707	2.3285	
0.17	0.5653	1.2379	1.2293	1.9826	
0.18	0.8685	1.1035	1.0991	0.9895	
0.19	1.0864	0.9313	0.9733	-0.1227	
0.2	1.3566	0.9078	0.8265	-0.7225	
0.21	1.5739	0.7575	0.7595	-0.6837	
0.22	1.8397	0.6083	0.6237	-0.2456	
0.23	1.7133	0.55	0.5866	0.2055	
0.24	1.5703	0.4897	0.427	0.1931	
0.25	1.3613	0.5269	0.3472	-0.23	
0.26	1.1089	0.5408	0.3032	-0.5875	
0.27	0.7786	0.5374	0.2278	-0.5057	
0.28	0.3724	0.5645	0.184	0.3347	
0.29	-0.0892	0.707	0.1507	1.3857	
0.3	-0.4898	0.8497	0.1359	2.0384	
0.31	-0.8388	0.8922	0.153	2.2733	
0.32	-1.0891	1.1585	0.1801	1.1289	
0.33	-1.1989	1.2636	0.2489	-0.05	
0.34	-1.2534	1.4269	0.2981	-0.909	
0.35	-1.0335	1.5942	0.3985	-1.1972	
0.36	-0.901	1.7389	0.5033	-0.5246	
0.37	-0.6417	1.9757	0.6281	0.2001	
0.38	-0.3557	2.153	0.7585	0.5857	
0.39	-0.0187	2.0059	0.9969	0.5196	
0.4	0.2696	2.4712	1.1923	0.1652	
0.41	0.5505	2.5411	1.301	0.0322	
0.42	0.6078	2.4993	1.4925	0.5127	
0.43	0.7026	2.3847	1.5002	1.329	
0.44	0.6404	2.1113	1.7512	1.9699	
0.45	0.5364	2.3532	1.7966	2.2487	
0.46	0.3737	2.0387	2.0039	1.4634	
0.47	0.148	2.0284	2.0341	0.084	
0.48	-0.0589	1.5815	2.3453	-1.1056	
0.49	-0.234	1.6328	2.6004	-1.248	
0.5	-0.3864	1.3737	2.4739	-0.8125	
0.51	-0.375	1.0808	2.4339	0.2586	
0.52	-0.3426	0.8074	2.2825	1.0725	
0.53	-0.1165	0.5325	2.4962	1.2576	
0.54	0.182	0.3596	2.4297	1.055	
0.55	0.5033	0.1646	2.4504	0.6321	
0.56	0.8862	-0.0263	2.1138	0.6568	
0.57	1.4632	-0.1982	2.4309	1.0791	
0.58	1.7597	-0.3478	2.3173	1.7637	
0.59	2.4284	-0.4331	2.2079	1.9497	
0.6	2.2956	-0.4438	1.8531	1.3758	
0.61	2.5004	-0.5175	1.8736	0.2544	
0.62	2.8553	-0.569	1.5743	-0.9628	
0.63	2.5653	-0.4831	1.342	-1.4551	
0.64	2.6243	-0.4304	1.2905	-0.8073	
0.65	2.4039	-0.308	1.2056	0.2926	
0.66	2.0418	-0.2027	1.0057	1.4488	
0.67	1.4635	-0.0927	0.8547	1.866	
0.68	1.2012	0.0577	0.6691	1.8466	
0.69	1.0443	0.2012	0.6108	1.023	
0.7	0.7466	0.3733	0.5587	0.7993	
0.71	0.7637	0.4969	0.4621	0.7934	
0.72	0.7755	0.7085	0.4145	1.2203	
0.73	0.8715	0.737	0.4032	1.5003	
0.74	0.9852	0.7811	0.4098	1.3916	
0.75	1.2875	0.9964	0.4677	0.4075	
0.76	1.2772	0.9298	0.4884	-0.6252	
0.77	1.5634	0.9802	0.4949	-1.2259	
0.78	1.6747	0.9436	0.6056	-0.701	
0.79	2.0096	0.9432	0.674	0.3518	
0.8	1.803	0.9185	0.8831	1.6918	
0.81	1.726	0.7188	0.8982	2.3592	
0.82	1.5276	0.6269	1.1109	2.3971	
0.83	1.0145	0.5428	1.1704	1.6825	
0.84	0.7423	0.3726	1.3255	0.8334	
0.85	0.3352	0.2047	1.5222	0.522	
0.86	-0.1017	0.0458	1.603	0.7312	
0.87	-0.4166	-0.1118	1.572	0.9707	
0.88	-0.7128	-0.243	1.8165	1.1469	
0.89	-0.9513	-0.3636	1.7183	0.7009	
0.9	-0.9497	-0.5036	2.0047	-0.1493	
0.91	-0.8863	-0.5926	2.1533	-0.7857	
0.92	-0.7947	-0.716	2.0857	-0.5631	
0.93	-0.4344	-0.6536	2.1739	0.4339	
0.94	-0.1333	-0.6565	1.9039	1.6485	
0.95	0.2427	-0.6144	1.9547	2.8168	
0.96	0.6097	-0.6034	1.8197	2.8106	
0.97	0.8791	-0.4555	1.8064	2.166	
0.98	1.166	-0.281	1.5924	0.8932	
0.99	1.329	-0.1255	1.6204	0.1751	
1.0	1.3162	0.0734	1.4175	0.1233	
1.01	1.3389	0.2669	1.3586	0.5752	
1.02	1.1777	0.4988	1.0964	0.8629	
1.03	1.0147	0.778	0.9904	0.8819	
1.04	0.7939	0.9876	0.7313	0.3757	
1.05	0.6322	1.1093	0.5645	-0.162	
1.06	0.4574	1.3376	0.3679	-0.1448	
1.07	0.3931	1.565	0.1964	0.5533	
1.08	0.3759	1.7542	0.0572	1.849	
1.09	0.4495	1.9113	-0.0911	2.4927	
1.1	0.7043	2.0602	-0.1956	2.9873	
1.11	0.9534	1.9666	-0.3477	2.3538	
1.12	1.3296	1.9619	-0.4486	0.9508	
1.13	1.6157	2.1733	-0.5004	-0.0524	
1.14	1.8518	2.1199	-0.5657	-0.3676	
1.15	2.2326	2.0805	-0.5686	0.0108	
1.16	2.4695	2.16	-0.5466	0.6621	
