0.01	0.238	
0.02	0.4132	
0.03	0.7087	
0.04	0.8825	
0.05	1.0953	
0.06	1.1446	
0.07	1.3337	
0.08	1.4255	
0.09	1.5788	
0.1	1.4415	
0.11	1.4119	
0.12	1.6436	
0.13	1.4383	
0.14	1.3407	
0.15	1.2406	
0.16	1.2073	
0.17	0.9771	
0.18	0.8858	
0.19	0.7715	
0.2	0.6757	
0.21	0.5376	
0.22	0.4941	
0.23	0.4037	
0.24	0.2878	
0.25	0.2632	
0.26	0.2071	
0.27	0.2222	
0.28	0.2438	
0.29	0.3438	
0.3	0.4039	
0.31	0.4589	
0.32	0.5966	
0.33	0.717	
0.34	0.9352	
0.35	1.1358	
0.36	1.2081	
0.37	1.4807	
0.38	1.8249	
0.39	1.7678	
0.4	1.9868	
0.41	2.383	
0.42	2.3249	
0.43	2.5857	
0.44	2.5767	
0.45	2.5233	
0.46	2.3552	
0.47	2.6731	
0.48	2.1961	
0.49	2.5492	
0.5	2.0229	
0.51	2.1175	
0.52	1.7598	
0.53	1.9173	
0.54	1.5606	
0.55	1.5047	
0.56	1.1462	
0.57	0.9755	
0.58	0.8759	
0.59	0.6827	
0.6	0.5317	
0.61	0.4579	
0.62	0.3682	
0.63	0.2476	
0.64	0.2305	
0.65	0.2058	
0.66	0.2174	
0.67	0.2472	
0.68	0.3432	
0.69	0.3979	
0.7	0.5287	
0.71	0.6811	
0.72	0.7478	
0.73	0.8962	
0.74	1.0801	
0.75	1.2842	
0.76	1.3184	
0.77	1.5385	
0.78	1.5113	
0.79	1.722	
0.8	1.6366	
0.81	1.7675	
0.82	1.6051	
0.83	1.5506	
0.84	1.4291	
0.85	1.5333	
0.86	1.4611	
0.87	1.1498	
0.88	1.1298	
0.89	0.8935	
0.9	0.6898	
0.91	0.4718	
0.92	0.2862	
0.93	0.0678	
0.94	-0.1141	
0.95	-0.2847	
0.96	-0.4104	
0.97	-0.5751	
0.98	-0.6656	
0.99	-0.7748	
1.0	-0.8958	
1.01	-0.9221	
1.02	-0.9116	
1.03	-0.8282	
1.04	-0.7178	
1.05	-0.7333	
