0.01	0.4794	0.161	0.3901	0.5717	0.7952	0.5221	
0.02	0.9669	0.3792	0.8156	1.0659	1.0402	0.9783	
0.03	1.2161	0.5517	1.009	1.1569	0.7303	1.1139	
0.04	1.1304	0.7403	1.2034	0.9988	0.1243	0.836	
0.05	0.8782	0.8297	1.5396	0.5307	-0.5135	0.5092	
0.06	0.4684	0.8982	1.4894	0.0911	-0.768	-0.0465	
0.07	0.0456	1.1475	1.227	-0.339	-0.3672	-0.5324	
0.08	-0.328	1.3071	1.0371	-0.6468	0.4213	-0.6378	
0.09	-0.5216	1.3824	0.9881	-0.5552	1.2426	-0.6367	
0.1	-0.4849	1.3875	0.633	-0.2182	1.369	-0.2294	
0.11	-0.2323	1.3172	0.4128	0.3078	1.0272	0.3554	
0.12	0.2083	1.4204	0.2206	0.8866	0.3478	0.9821	
0.13	0.7107	1.4427	0.1362	1.4778	-0.2502	1.4139	
0.14	1.247	1.3817	0.1402	1.6203	-0.4296	1.4499	
0.15	1.5295	1.4148	0.2539	1.5637	0.045	1.2016	
0.16	1.6402	1.5178	0.449	1.3369	0.7881	0.9016	
0.17	1.5627	1.3046	0.7871	0.7707	1.5848	0.37	
0.18	1.2991	1.285	1.1143	0.2391	1.5828	-0.0936	
0.19	0.851	1.2226	1.6296	-0.0681	1.2082	-0.3013	
0.2	0.4583	1.239	1.8395	-0.141	0.6027	-0.2751	
0.21	0.1531	1.0523	2.4333	0.0906	-0.0195	0.0774	
0.22	-0.0156	0.9423	2.5874	0.5198	-0.0888	0.6188	
0.23	0.0504	0.9605	2.5412	1.253	0.445	1.2206	
0.24	0.3328	0.8232	2.4318	1.7489	1.1407	1.6377	
0.25	0.8122	0.6617	2.6607	1.8578	2.0606	1.7259	
0.26	1.3824	0.5731	2.1768	2.1838	1.7882	1.5823	
0.27	1.9288	0.5831	2.2301	1.6676	1.6348	1.3703	
0.28	1.9309	0.4291	1.8569	1.4583	0.8281	0.7864	
0.29	2.3022	0.3684	1.5791	0.7693	0.2382	0.2775	
0.3	2.0888	0.335	1.1271	0.4669	0.2423	0.0038	
0.31	1.4689	0.303	0.9639	0.2796	0.7639	0.0289	
0.32	1.1412	0.257	0.8299	0.4038	1.6524	0.375	
0.33	0.754	0.2383	0.7521	0.7841	2.1184	0.8781	
0.34	0.3485	0.2898	0.7855	1.3616	2.2552	1.4462	
0.35	0.2428	0.3147	1.0514	1.7691	1.757	1.9175	
0.36	0.3772	0.3744	1.1854	2.3049	0.9141	2.1292	
0.37	0.6045	0.4117	1.4551	2.6022	0.431	2.1565	
0.38	1.1374	0.4976	1.8123	2.3759	0.5269	1.7253	
0.39	1.5102	0.5995	2.1178	1.8092	1.1484	1.0001	
0.4	1.8855	0.6621	2.1974	1.2265	2.1072	0.5646	
0.41	2.225	0.8448	2.6911	0.8565	2.2412	0.279	
0.42	2.2146	0.9669	2.5266	0.5719	2.3453	0.2637	
0.43	2.1538	1.0816	2.5704	0.6711	1.9071	0.5739	
0.44	1.6958	1.2319	2.2325	0.8969	1.0178	0.9632	
0.45	1.1347	1.5296	2.1019	1.3901	0.5661	1.7542	
0.46	0.6289	1.4314	1.7133	2.1188	0.7785	2.2187	
0.47	0.3153	1.6556	1.361	2.3329	1.4875	2.4637	
0.48	0.2125	1.8613	0.9472	2.6026	2.1641	2.0887	
0.49	0.3361	2.0498	0.5742	2.5366	2.748	1.7065	
0.5	0.7533	2.0103	0.2621	2.2619	2.5634	1.2246	
0.51	1.0834	2.4041	0.1086	1.743	1.8725	0.8928	
0.52	1.7304	2.5683	0.0636	1.1621	1.2371	0.4722	
0.53	1.8401	2.4034	0.0973	0.7815	0.7045	0.415	
0.54	2.2202	2.5528	0.2253	0.71	0.9798	0.6325	
0.55	2.0643	2.6294	0.5124	0.9824	1.793	1.2499	
0.56	1.7312	2.7073	0.8026	1.5174	2.4843	1.7252	
0.57	1.1673	2.6911	0.9705	1.8861	3.0147	2.2728	
0.58	0.7688	2.6496	1.139	2.3228	2.7205	2.3786	
0.59	0.3001	2.6413	1.5301	2.938	2.0121	2.4021	
0.6	0.0069	2.8313	1.3756	2.5051	1.2304	1.8765	
0.61	-0.0556	2.9885	1.4037	2.4568	0.9483	1.3557	
0.62	0.1241	2.9075	1.2625	1.8206	1.2187	0.9658	
0.63	0.4554	2.4508	1.1904	1.6178	1.9997	0.5878	
0.64	0.8249	2.4636	0.7969	1.0616	2.4158	0.5221	
0.65	1.3868	2.5715	0.4633	0.8888	3.0717	0.7718	
0.66	1.6969	2.6107	0.0531	0.9383	2.8508	1.1641	
0.67	1.6622	2.3731	-0.2867	1.2188	1.7797	1.8817	
0.68	1.6877	2.2921	-0.6221	1.6932	1.218	2.1858	
0.69	1.2261	1.8689	-0.9001	2.5115	0.9397	2.4175	
0.7	0.7013	1.9789	-1.0642	2.5142	1.2067	2.6235	
0.71	0.2038	1.7551	-0.9781	2.6255	2.2023	2.1323	
0.72	-0.2294	1.536	-0.9736	2.5792	2.5654	1.5357	
0.73	-0.4272	1.4339	-0.7484	2.2411	2.8776	0.9309	
0.74	-0.5058	1.3044	-0.4617	1.7643	2.6124	0.6954	
0.75	-0.2764	1.2663	-0.1998	1.1276	1.842	0.4671	
0.76	0.1128	1.1033	0.1077	0.871	1.088	0.708	
0.77	0.62	1.042	0.385	0.8243	0.9916	1.2308	
0.78	0.932	1.0346	0.5911	1.0024	1.2445	1.6408	
0.79	1.1997	1.0897	0.6503	1.6267	2.1423	2.0324	
0.8	1.1429	0.9731	0.641	2.0987	2.7087	2.4283	
0.81	1.0612	1.0367	0.4964	2.2143	2.8826	2.649	
0.82	0.6268	1.0588	0.3186	2.5357	2.4206	2.1338	
0.83	0.1546	0.9952	0.0355	2.6613	1.597	1.695	
0.84	-0.3337	0.9817	-0.3104	2.0486	0.9743	0.9133	
0.85	-0.6809	1.1629	-0.5758	1.5873	0.9266	0.6308	
0.86	-0.9701	1.1565	-0.9881	1.1785	1.4163	0.4217	
0.87	-0.9004	1.411	-1.2233	0.64	2.2116	0.6112	
0.88	-0.6254	1.4127	-1.4013	0.5134	2.942	0.9635	
0.89	-0.1988	1.414	-1.4064	0.6686	2.6427	1.5345	
0.9	0.274	1.6523	-1.3813	1.0843	2.269	1.9304	
0.91	0.6148	1.6384	-1.1487	1.6107	1.5262	2.2912	
0.92	0.9387	1.935	-0.8953	2.0045	0.8686	2.1559	
0.93	0.8723	2.0673	-0.635	2.5438	0.7935	2.0063	
0.94	0.647	1.9227	-0.2569	2.2866	1.4072	1.523	
0.95	0.2018	2.4002	0.0953	2.1138	1.947	0.9946	
0.96	-0.311	2.2158	0.4138	1.7054	2.8931	0.4297	
0.97	-0.7113	2.4455	0.6559	1.0592	2.3951	0.2781	
0.98	-1.1985	2.5427	0.6896	0.5217	2.0945	0.4101	
0.99	-1.2079	2.3518	0.6686	0.27	1.3698	0.7593	
1.0	-1.1251	2.6057	0.6418	0.3383	0.6705	1.3615	
1.01	-0.7437	2.4946	0.4809	0.6553	0.7421	1.8434	
1.02	-0.313	2.5592	0.1791	1.0538	1.3381	1.954	
1.03	0.1436	2.9885	-0.1189	1.6219	2.0743	1.9381	
1.04	0.5147	2.5917	-0.3974	2.1754	2.3038	1.9076	
1.05	0.7118	2.6172	-0.7094	2.2646	2.3144	1.4158	
1.06	0.7148	2.558	-0.8907	1.9773	1.6065	0.8108	
1.07	0.4099	2.7202	-0.8982	1.3736	1.0268	0.3228	
1.08	-0.0444	2.5051	-1.0183	0.8339	0.4516	0.0746	
1.09	-0.48	2.2015	-0.9408	0.3478	0.5206	0.1746	
1.1	-1.0363	2.4807	-0.7246	-0.0085	1.1195	0.4771	
1.11	-1.1165	2.3474	-0.3909	-0.0704	1.8934	1.0805	
1.12	-1.257	1.8202	-0.0203	0.1827	2.2034	1.4906	
1.13	-1.0066	2.0014	0.3323	0.5627	2.114	2.0579	
1.14	-0.7164	1.7871	0.6905	1.2052	1.5532	1.8797	
1.15	-0.1975	1.6441	1.0155	1.498	0.7164	1.5099	
1.16	0.2983	1.2762	1.2077	1.677	0.2556	1.2699	
1.17	0.6228	1.1908	1.1357	1.7538	0.3994	0.6455	
1.18	0.8857	1.0532	1.1046	1.2513	1.0827	0.1037	
1.19	0.709	0.8937	1.0665	0.6312	1.7274	-0.1608	
1.2	0.4692	0.6962	0.7956	0.1357	2.094	-0.0953	
1.21	0.017	0.6582	0.5176	-0.2672	1.7209	0.2201	
1.22	-0.4504	0.5087	0.2155	-0.4392	1.0969	0.7957	
1.23	-0.8468	0.3605	-0.0846	-0.3098	0.3484	1.1882	
1.24	-0.9549	0.307	-0.374	0.0714	-0.027	1.7023	
1.25	-0.9651	0.1927	-0.55	0.611	0.1901	1.6085	
1.26	-0.6545	0.1384	-0.6603	1.119	0.8118	1.5385	
1.27	-0.2472	0.0951	-0.6524	1.2123	1.5123	0.9547	
1.28	0.2829	0.0662	-0.5248	1.4487	1.8513	0.3781	
1.29	0.7487	0.0518	-0.3953	1.1108	1.543	-0.0884	
1.3	1.1163	0.0629	-0.0962	0.5644	0.798	-0.3974	
1.31	1.2112	0.0805	0.2213	-0.0537	-0.0023	-0.3905	
1.32	1.0043	0.1281	0.4917	-0.5124	-0.2817	-0.0474	
1.33	0.7833	0.1707	0.7961	-0.853	-0.0089	0.419	
1.34	0.3151	0.257	1.0113	-0.722	0.7411	1.0415	
1.35	-0.0935	0.2925	1.1244	-0.4429	1.2238	1.3504	
1.36	-0.4284	0.4079	1.0585	0.0475	1.6488	1.4653	
1.37	-0.5101	0.4652	1.0437	0.5367	1.2246	1.1557	
1.38	-0.4531	0.6287	0.8575	0.9737	0.371	0.7718	
1.39	-0.1144	0.6332	0.5426	1.1186	-0.3833	0.2252	
1.4	0.3654	0.7814	0.1759	0.798	-0.5528	-0.2918	
1.41	0.8466	0.9429	-0.2007	0.3475	-0.2398	-0.6497	
