0.01	0.1885	0.397	1.0633	0.1872	0.3072	
0.02	0.3677	0.805	0.5989	0.3412	0.6164	
0.03	0.5153	1.0134	-0.5781	0.5628	0.9497	
0.04	0.69	1.4437	-0.3443	0.6519	1.0542	
0.05	0.8241	1.688	1.146	0.9018	1.4384	
0.06	0.9647	2.0036	1.5955	0.8828	1.385	
0.07	1.0656	1.9236	0.4357	1.034	1.5831	
0.08	1.3744	1.9903	-0.258	1.2178	1.5971	
0.09	1.4394	2.3082	0.6423	1.3196	1.8772	
0.1	1.495	2.0042	1.8281	1.3398	1.7165	
0.11	1.5711	1.984	1.5481	1.4996	1.611	
0.12	1.5122	1.6879	0.2913	1.5107	1.7383	
0.13	1.4806	1.5692	0.3508	1.4658	1.5687	
0.14	1.5258	1.5303	1.5242	1.5279	1.3776	
0.15	1.4452	1.3464	2.0933	1.4423	1.143	
0.16	1.4658	0.9975	1.3812	1.626	0.9957	
0.17	1.5008	0.7654	0.3882	1.5414	0.8036	
0.18	1.3941	0.5482	1.1923	1.4771	0.5993	
0.19	1.3836	0.3843	2.5462	1.4681	0.4544	
0.2	1.308	0.2433	2.086	1.2926	0.3004	
0.21	1.2104	0.1376	0.8714	1.2346	0.1708	
0.22	1.2638	0.0749	0.6131	1.1223	0.0597	
0.23	0.9664	0.0502	1.9014	1.1147	-0.0054	
0.24	0.8856	0.0583	2.3642	0.8651	-0.0405	
0.25	0.7988	0.1122	1.6869	0.9068	-0.04	
0.26	0.7531	0.1877	0.7154	0.7636	-0.0094	
0.27	0.647	0.3409	1.1419	0.7063	0.0517	
0.28	0.6439	0.3946	2.2139	0.6165	0.1281	
0.29	0.4765	0.5904	2.1663	0.5127	0.2252	
0.3	0.4301	0.6762	1.0794	0.3631	0.3452	
0.31	0.3988	0.7482	0.6813	0.3588	0.4792	
0.32	0.3642	0.8345	1.7893	0.293	0.5659	
0.33	0.3683	0.9313	2.3702	0.2308	0.7598	
0.34	0.3613	0.8936	1.7731	0.2294	0.7071	
0.35	0.376	1.0132	0.5538	0.1984	0.8849	
0.36	0.405	0.9195	0.7567	0.2281	0.8062	
0.37	0.4229	0.8678	2.1971	0.2338	0.8769	
0.38	0.4754	0.8483	2.2201	0.2662	0.8089	
0.39	0.6015	0.7049	0.9243	0.3044	0.8414	
0.4	0.6091	0.5208	0.2472	0.4428	0.6468	
0.41	0.7052	0.335	1.2099	0.4822	0.5513	
0.42	0.945	0.2134	2.0847	0.5887	0.3589	
0.43	0.8936	0.0681	1.5072	0.6587	0.1381	
0.44	1.0458	-0.0389	0.2049	0.7548	-0.0661	
0.45	1.2448	-0.1225	0.2553	0.9196	-0.2931	
0.46	1.4017	-0.1816	1.5093	1.0541	-0.5253	
0.47	1.5771	-0.1874	1.7799	1.0799	-0.7683	
0.48	1.6474	-0.1162	0.6174	1.3057	-0.921	
0.49	1.6782	-0.0255	-0.2643	1.4341	-1.2217	
0.5	1.8907	0.1247	0.4115	1.4669	-1.3045	
0.51	2.0688	0.2819	1.5019	1.6622	-1.3743	
0.52	2.0349	0.4952	1.1146	1.7979	-1.6976	
0.53	2.0145	0.8576	-0.1876	1.7346	-1.6384	
0.54	2.1088	1.0225	-0.3833	1.8019	-1.6031	
0.55	2.4086	1.3379	0.8042	2.226	-1.6186	
0.56	2.3319	1.6106	1.3964	2.0608	-1.2958	
0.57	2.2373	1.8741	0.2647	2.2646	-1.329	
0.58	2.1997	2.1522	-0.8114	2.1662	-1.0538	
0.59	2.5506	2.2951	-0.1723	2.1032	-0.7745	
0.6	2.5207	2.3979	1.0705	2.3644	-0.5465	
0.61	2.3081	2.8713	0.7767	2.0477	-0.263	
0.62	2.1571	2.7207	-0.4867	2.2165	0.0089	
0.63	2.2924	2.4648	-0.8438	2.0939	0.2863	
0.64	2.0823	2.4365	0.2748	2.1581	0.5579	
0.65	1.8406	2.3645	0.9985	1.9114	0.8348	
0.66	1.8041	2.4175	0.16	1.8845	1.0331	
0.67	1.6255	1.8471	-0.9328	1.7943	1.3018	
0.68	1.6084	1.7866	-0.5227	1.7232	1.5282	
0.69	1.3956	1.3892	0.6857	1.4582	1.4949	
0.7	1.1519	0.9413	0.7338	1.3882	1.6176	
0.71	1.0122	0.4939	-0.5124	1.2622	1.8421	
0.72	0.8785	0.1929	-0.9138	1.0352	1.7885	
0.73	0.7385	-0.1714	0.0316	0.8611	1.771	
0.74	0.5964	-0.4577	0.9647	0.6949	1.8389	
0.75	0.399	-0.7112	0.3196	0.5298	1.6327	
0.76	0.2658	-0.9738	-0.8427	0.3651	1.5165	
0.77	0.173	-1.0899	-0.6522	0.2427	1.3414	
