#CandyMountain NPP, unit 4
#date;fha;bc;ao
1986-09-02;1.368;6.39;-6.043
1986-09-03;1.367;6.378;-6.034
1986-09-04;1.366;6.371;-6.027
1986-09-05;1.364;6.357;-6.022
1986-09-06;1.363;6.35;-6.017
1986-09-07;1.362;6.342;-6.009
1986-09-08;1.361;6.33;-6.002
1986-09-09;1.36;6.321;-5.995
1986-09-10;1.359;6.31;-5.991
1986-09-11;1.358;6.302;-5.985
1986-09-12;1.357;6.291;-5.979
1986-09-13;1.356;6.277;-5.973
1986-09-14;1.354;6.269;-5.969
1986-09-15;1.353;6.255;-5.966
1986-09-16;1.353;6.245;-5.96
1986-09-17;1.352;6.238;-5.958
1986-09-18;1.351;6.224;-5.955
1986-09-19;1.35;6.214;-5.951
1986-09-20;1.349;6.204;-5.945
1986-09-21;1.349;6.196;-5.94
1986-09-22;1.348;6.188;-5.936
1986-09-23;1.347;6.181;-5.93
1986-09-24;1.346;6.174;-5.924
1986-09-25;1.345;6.164;-5.922
1986-09-26;1.344;6.154;-5.917
1986-09-27;1.344;6.144;-5.914
1986-09-28;1.343;6.135;-5.911
1986-09-29;1.342;6.129;-5.905
1986-09-30;1.341;6.115;-5.903
1986-10-01;1.34;6.109;-5.9
1986-10-02;1.339;6.103;-5.897
1986-10-03;1.338;6.088;-5.894
1986-10-04;1.337;6.08;-5.892
1986-10-05;1.336;6.073;-5.888
1986-10-06;1.335;6.065;-5.886
1986-10-07;1.334;6.051;-5.882
1986-10-08;1.333;6.037;-5.88
1986-10-09;1.332;6.028;-5.877
1986-10-10;1.331;6.013;-5.872
1986-10-11;1.33;6.003;-5.868
1986-10-12;1.328;5.994;-5.865
1986-10-13;1.328;5.98;-5.861
1986-10-14;1.327;5.973;-5.856
1986-10-15;1.326;5.961;-5.851
1986-10-16;1.325;5.95;-5.849
1986-10-17;1.324;5.943;-5.847
1986-10-18;1.324;5.928;-5.842
1986-10-19;1.323;5.914;-5.84
1986-10-20;1.322;5.901;-5.837
1986-10-21;1.321;5.891;-5.834
1986-10-22;1.32;5.88;-5.831
1986-10-23;1.319;5.871;-5.827
1986-10-24;1.318;5.859;-5.823
1986-10-25;1.317;5.846;-5.82
1986-10-26;1.316;5.835;-5.816
1986-10-27;1.315;5.821;-5.814
1986-10-28;1.315;5.813;-5.811
1986-10-29;1.314;5.802;-5.808
1986-10-30;1.313;5.791;-5.805
1986-10-31;1.312;5.779;-5.802
1986-11-01;1.311;5.765;-5.798
1986-11-02;1.31;5.754;-5.796
