#Disneyland NPP, unit 3
#date;bc;ao;fha
8.10.1988;5.904;-7.022;1.339
9.10.1988;5.896;-7.012;1.339
10.10.1988;5.89;-7.003;1.338
11.10.1988;5.878;-6.998;1.336
12.10.1988;5.869;-6.994;1.335
13.10.1988;5.856;-6.985;1.335
14.10.1988;5.842;-6.977;1.334
15.10.1988;5.831;-6.97;1.333
16.10.1988;5.817;-6.967;1.331
17.10.1988;5.809;-6.961;1.331
18.10.1988;5.801;-6.957;1.329
19.10.1988;5.796;-6.951;1.329
20.10.1988;5.781;-6.945;1.328
21.10.1988;5.772;-6.94;1.327
22.10.1988;5.76;-6.935;1.326
23.10.1988;5.748;-6.929;1.325
24.10.1988;5.735;-6.924;1.323
25.10.1988;5.721;-6.921;1.323
26.10.1988;5.706;-6.919;1.321
27.10.1988;5.692;-6.914;1.32
28.10.1988;5.685;-6.91;1.319
29.10.1988;5.675;-6.905;1.318
30.10.1988;5.669;-6.903;1.317
31.10.1988;5.664;-6.897;1.316
1.11.1988;5.658;-6.893;1.315
2.11.1988;5.649;-6.89;1.314
3.11.1988;5.637;-6.885;1.313
4.11.1988;5.631;-6.881;1.311
5.11.1988;5.623;-6.877;1.311
6.11.1988;5.614;-6.872;1.31
7.11.1988;5.608;-6.868;1.309
8.11.1988;5.594;-6.865;1.308
9.11.1988;5.582;-6.861;1.307
10.11.1988;5.57;-6.858;1.306
11.11.1988;5.563;-6.856;1.305
12.11.1988;5.55;-6.853;1.304
13.11.1988;5.539;-6.848;1.303
14.11.1988;5.524;-6.845;1.302
15.11.1988;5.51;-6.84;1.302
16.11.1988;5.497;-6.837;1.3
17.11.1988;5.491;-6.833;1.299
18.11.1988;5.483;-6.83;1.298
19.11.1988;5.476;-6.827;1.297
20.11.1988;5.471;-6.824;1.296
21.11.1988;5.46;-6.819;1.295
22.11.1988;5.454;-6.816;1.294
23.11.1988;5.44;-6.812;1.292
24.11.1988;5.43;-6.81;1.292
25.11.1988;5.419;-6.806;1.29
26.11.1988;5.406;-6.804;1.289
27.11.1988;5.393;-6.801;1.288
28.11.1988;5.381;-6.799;1.287
29.11.1988;5.37;-6.798;1.286
30.11.1988;5.364;-6.793;1.285
1.12.1988;5.349;-6.792;1.284
2.12.1988;5.344;-6.789;1.283
