#CandyMountain NPP, unit 2
#date;bc;fha;ao
1995-05-06;6.097;1.409;-6.734
1995-05-07;6.086;1.408;-6.722
1995-05-08;6.078;1.408;-6.716
1995-05-09;6.069;1.407;-6.708
1995-05-10;6.06;1.406;-6.704
1995-05-11;6.054;1.406;-6.695
1995-05-12;6.044;1.405;-6.687
1995-05-13;6.035;1.404;-6.683
1995-05-14;6.028;1.403;-6.675
1995-05-15;6.022;1.401;-6.669
1995-05-16;6.007;1.4;-6.666
1995-05-17;6.002;1.399;-6.662
1995-05-18;5.989;1.398;-6.658
1995-05-19;5.978;1.397;-6.651
1995-05-20;5.971;1.396;-6.646
1995-05-21;5.958;1.395;-6.64
1995-05-22;5.948;1.395;-6.634
1995-05-23;5.938;1.394;-6.63
1995-05-24;5.929;1.393;-6.625
1995-05-25;5.917;1.392;-6.62
1995-05-26;5.904;1.391;-6.617
1995-05-27;5.899;1.39;-6.613
1995-05-28;5.89;1.388;-6.611
1995-05-29;5.88;1.388;-6.608
1995-05-30;5.87;1.386;-6.603
1995-05-31;5.856;1.385;-6.599
1995-06-01;5.845;1.384;-6.597
1995-06-02;5.836;1.383;-6.593
1995-06-03;5.828;1.381;-6.589
1995-06-04;5.822;1.38;-6.585
1995-06-05;5.81;1.38;-6.582
1995-06-06;5.796;1.379;-6.579
1995-06-07;5.785;1.378;-6.576
1995-06-08;5.77;1.377;-6.573
1995-06-09;5.764;1.376;-6.568
1995-06-10;5.758;1.375;-6.565
1995-06-11;5.75;1.375;-6.563
1995-06-12;5.736;1.373;-6.561
1995-06-13;5.724;1.372;-6.557
1995-06-14;5.712;1.371;-6.553
1995-06-15;5.699;1.369;-6.55
1995-06-16;5.691;1.368;-6.546
1995-06-17;5.681;1.367;-6.544
1995-06-18;5.668;1.366;-6.542
1995-06-19;5.657;1.365;-6.539
1995-06-20;5.65;1.364;-6.537
1995-06-21;5.64;1.363;-6.535
1995-06-22;5.633;1.363;-6.53
1995-06-23;5.626;1.362;-6.527
1995-06-24;5.618;1.36;-6.525
1995-06-25;5.609;1.36;-6.521
1995-06-26;5.603;1.359;-6.519
1995-06-27;5.589;1.358;-6.514
1995-06-28;5.582;1.357;-6.511
1995-06-29;5.576;1.355;-6.508
1995-06-30;5.562;1.354;-6.503
1995-07-01;5.549;1.353;-6.5
1995-07-02;5.537;1.352;-6.497
1995-07-03;5.525;1.351;-6.492
1995-07-04;5.515;1.35;-6.49
1995-07-05;5.505;1.349;-6.489
1995-07-06;5.491;1.348;-6.485
1995-07-07;5.478;1.347;-6.483
1995-07-08;5.471;1.347;-6.48
1995-07-09;5.461;1.345;-6.477
1995-07-10;5.449;1.344;-6.475
1995-07-11;5.442;1.343;-6.471
1995-07-12;5.427;1.343;-6.467
1995-07-13;5.421;1.342;-6.465
1995-07-14;5.408;1.341;-6.462
1995-07-15;5.398;1.34;-6.458
1995-07-16;5.392;1.339;-6.457
1995-07-17;5.382;1.338;-6.455
1995-07-18;5.375;1.337;-6.453
1995-07-19;5.362;1.336;-6.451
1995-07-20;5.35;1.335;-6.448
1995-07-21;5.335;1.334;-6.446
1995-07-22;5.328;1.333;-6.444
1995-07-23;5.322;1.332;-6.441
1995-07-24;5.316;1.331;-6.44
1995-07-25;5.308;1.33;-6.437
1995-07-26;5.293;1.33;-6.433
1995-07-27;5.284;1.328;-6.43
1995-07-28;5.278;1.328;-6.426
1995-07-29;5.273;1.327;-6.423
1995-07-30;5.265;1.326;-6.421
1995-07-31;5.258;1.325;-6.419
1995-08-01;5.253;1.324;-6.416
1995-08-02;5.245;1.323;-6.413
1995-08-03;5.232;1.322;-6.41
1995-08-04;5.22;1.322;-6.409
1995-08-05;5.208;1.321;-6.405
1995-08-06;5.202;1.32;-6.403
1995-08-07;5.192;1.319;-6.401
1995-08-08;5.184;1.318;-6.398
1995-08-09;5.174;1.317;-6.395
1995-08-10;5.161;1.316;-6.392
1995-08-11;5.156;1.315;-6.39
1995-08-12;5.142;1.314;-6.388
1995-08-13;5.137;1.313;-6.386
1995-08-14;5.122;1.312;-6.384
1995-08-15;5.108;1.311;-6.383
1995-08-16;5.095;1.31;-6.38
1995-08-17;5.086;1.309;-6.377
1995-08-18;5.072;1.309;-6.373
1995-08-19;5.059;1.308;-6.371
1995-08-20;5.052;1.306;-6.369
1995-08-21;5.042;1.305;-6.366
1995-08-22;5.036;1.305;-6.363
1995-08-23;5.026;1.304;-6.362
1995-08-24;5.018;1.303;-6.36
1995-08-25;5.013;1.301;-6.357
1995-08-26;5.008;1.3;-6.356
1995-08-27;4.995;1.299;-6.354
1995-08-28;4.986;1.298;-6.351
1995-08-29;4.974;1.298;-6.349
1995-08-30;4.96;1.297;-6.347
1995-08-31;4.947;1.296;-6.345
1995-09-01;4.939;1.295;-6.342
1995-09-02;4.926;1.293;-6.341
1995-09-03;4.916;1.293;-6.337
1995-09-04;4.907;1.292;-6.336
1995-09-05;4.893;1.291;-6.334
1995-09-06;4.88;1.29;-6.331
1995-09-07;4.872;1.289;-6.33
1995-09-08;4.863;1.287;-6.327
1995-09-09;4.857;1.286;-6.325
1995-09-10;4.845;1.285;-6.322
1995-09-11;4.836;1.284;-6.321
1995-09-12;4.829;1.283;-6.318
1995-09-13;4.815;1.281;-6.317
1995-09-14;4.804;1.28;-6.314
1995-09-15;4.791;1.279;-6.311
1995-09-16;4.784;1.279;-6.308
1995-09-17;4.771;1.278;-6.306
1995-09-18;4.763;1.277;-6.304
1995-09-19;4.753;1.276;-6.301
1995-09-20;4.738;1.275;-6.3
1995-09-21;4.725;1.274;-6.298
1995-09-22;4.713;1.273;-6.295
1995-09-23;4.703;1.272;-6.293
1995-09-24;4.692;1.271;-6.29
1995-09-25;4.684;1.269;-6.287
1995-09-26;4.673;1.268;-6.285
1995-09-27;4.666;1.267;-6.282
1995-09-28;4.656;1.266;-6.281
1995-09-29;4.646;1.265;-6.279
1995-09-30;4.637;1.264;-6.277
1995-10-01;4.623;1.263;-6.273
1995-10-02;4.616;1.262;-6.272
1995-10-03;4.604;1.26;-6.269
1995-10-04;4.592;1.259;-6.266
1995-10-05;4.581;1.259;-6.263
1995-10-06;4.568;1.257;-6.261
1995-10-07;4.555;1.257;-6.26
1995-10-08;4.548;1.256;-6.259
1995-10-09;4.535;1.255;-6.257
1995-10-10;4.528;1.254;-6.256
1995-10-11;4.514;1.253;-6.254
1995-10-12;4.5;1.252;-6.25
1995-10-13;4.493;1.251;-6.249
1995-10-14;4.483;1.25;-6.246
1995-10-15;4.477;1.249;-6.244
1995-10-16;4.465;1.248;-6.241
1995-10-17;4.454;1.246;-6.239
1995-10-18;4.444;1.245;-6.236
1995-10-19;4.431;1.244;-6.233
1995-10-20;4.422;1.244;-6.231
1995-10-21;4.412;1.242;-6.229
1995-10-22;4.406;1.241;-6.226
1995-10-23;4.391;1.239;-6.225
1995-10-24;4.383;1.238;-6.224
1995-10-25;4.369;1.237;-6.221
1995-10-26;4.363;1.236;-6.218
1995-10-27;4.35;1.235;-6.217
1995-10-28;4.343;1.234;-6.216
1995-10-29;4.333;1.233;-6.215
1995-10-30;4.321;1.232;-6.212
1995-10-31;4.309;1.231;-6.211
1995-11-01;4.303;1.231;-6.209
1995-11-02;4.293;1.229;-6.206
1995-11-03;4.284;1.228;-6.203
1995-11-04;4.275;1.228;-6.201
1995-11-05;4.262;1.226;-6.199
1995-11-06;4.252;1.225;-6.197
1995-11-07;4.238;1.225;-6.194
1995-11-08;4.225;1.223;-6.192
1995-11-09;4.213;1.222;-6.19
