#y1 y2 time
0.1575 0.2443 0.01
0.3516 0.4408 0.02
0.5533 0.6453 0.03
0.7312 0.8403 0.04
0.7914 1.0301 0.05
0.9265 1.2758 0.06
0.9768 1.2248 0.07
1.2094 1.5466 0.08
1.3399 1.5674 0.09
1.4078 1.6037 0.1
1.3027 1.4564 0.11
1.4187 1.3678 0.12
1.5598 1.2326 0.13
1.3126 1.2879 0.14
1.4878 1.0484 0.15
1.2306 0.9394 0.16
1.279 0.8521 0.17
1.26 0.6644 0.18
1.1846 0.5929 0.19
0.9598 0.3736 0.2
0.9843 0.322 0.21
0.8716 0.2141 0.22
0.7937 0.1596 0.23
0.6726 0.1215 0.24
0.5159 0.1069 0.25
0.4368 0.1424 0.26
0.362 0.2007 0.27
0.2818 0.2744 0.28
0.1798 0.3905 0.29
0.1461 0.5425 0.3
0.107 0.7011 0.31
0.0844 0.9156 0.32
0.087 0.9983 0.33
0.1032 1.3117 0.34
0.1401 1.4827 0.35
0.1838 1.7962 0.36
0.2461 1.6701 0.37
0.3337 2.0445 0.38
0.4371 2.1507 0.39
0.5864 2.144 0.4
0.6964 2.4397 0.41
0.94 2.5177 0.42
1.0795 2.0757 0.43
1.1478 2.4504 0.44
1.3167 2.3287 0.45
1.5666 2.1974 0.46
1.754 2.1122 0.47
1.8752 1.9034 0.48
1.9591 1.6893 0.49
1.9502 1.3207 0.5
1.9668 1.1294 0.51
2.275 0.968 0.52
2.2483 0.7953 0.53
2.5929 0.6399 0.54
2.273 0.4458 0.55
2.5143 0.2717 0.56
2.7469 0.1374 0.57
2.6123 0.0558 0.58
2.7367 -0.0113 0.59
2.231 -0.0398 0.6
2.6136 -0.0418 0.61
2.1622 -0.0099 0.62
2.0289 0.0507 0.63
2.2675 0.1397 0.64
1.904 0.2599 0.65
1.9948 0.3901 0.66
1.8667 0.5566 0.67
1.6145 0.6375 0.68
1.5257 0.8572 0.69
1.2881 0.8741 0.7
1.3022 1.1454 0.71
1.0695 1.2885 0.72
1.0049 1.2286 0.73
0.8564 1.2331 0.74
0.862 1.3659 0.75
0.7438 1.4209 0.76
0.6407 1.2255 0.77
0.7079 1.2121 0.78
0.6306 1.1994 0.79
0.6601 1.0967 0.8
0.7466 0.858 0.81
0.697 0.6875 0.82
0.8125 0.5172 0.83
0.8936 0.3266 0.84
1.0081 0.0796 0.85
1.0006 -0.1297 0.86
1.2306 -0.3343 0.87
1.3771 -0.4764 0.88
1.2947 -0.7641 0.89
1.3959 -0.9063 0.9
1.5616 -0.8854 0.91
1.7373 -0.9852 0.92
2.0668 -1.0973 0.93
1.9413 -1.1655 0.94
2.0221 -1.2131 0.95
2.0529 -0.9649 0.96
2.3712 -1.0853 0.97
2.2682 -0.8046 0.98
2.5069 -0.7934 0.99
2.5966 -0.5349 1.0
2.5044 -0.4501 1.01
2.3196 -0.2493 1.02
2.606 -0.0527 1.03
2.1654 0.1336 1.04
2.3614 0.3015 1.05
2.3826 0.4153 1.06
2.2393 0.5236 1.07
1.9914 0.6449 1.08
1.7152 0.715 1.09
1.7465 0.8357 1.1
1.6035 0.8494 1.11
1.5182 0.8548 1.12
1.2367 0.7883 1.13
1.111 0.7218 1.14
1.0119 0.5963 1.15
0.8502 0.4518 1.16
0.5924 0.3157 1.17
0.496 0.1416 1.18
0.3576 -0.0052 1.19
0.284 -0.1721 1.2
0.1872 -0.3012 1.21
0.1205 -0.4638 1.22
0.0458 -0.5162 1.23
0.0103 -0.6727 1.24
-0.012 -0.7721 1.25
-0.014 -0.7672 1.26
0.0019 -0.7949 1.27
0.0385 -0.6805 1.28
0.0955 -0.5886 1.29
0.148 -0.5457 1.3
0.2548 -0.3874 1.31
0.323 -0.2265 1.32
0.4189 -0.0359 1.33
0.5108 0.1573 1.34
0.6269 0.4316 1.35
0.7595 0.6591 1.36
0.8374 0.8704 1.37
1.068 0.9998 1.38
1.2057 1.2858 1.39
1.1036 1.5769 1.4
1.2892 1.7873 1.41
1.3784 1.8656 1.42
1.291 1.7722 1.43
1.4242 2.0912 1.44
1.5051 2.2582 1.45
1.62 1.9704 1.46
1.3462 1.9612 1.47
1.5809 1.9887 1.48
1.5175 1.7895 1.49
1.2276 1.9333 1.5
1.1738 1.6413 1.51
1.1723 1.5248 1.52
1.1522 1.4679 1.53
0.8536 1.2953 1.54
0.7693 1.0837 1.55
0.6901 1.0808 1.56
0.49 0.9333 1.57
0.332 0.7952 1.58
0.1604 0.7038 1.59
0.0153 0.7332 1.6
-0.1432 0.7312 1.61
-0.2533 0.6964 1.62
-0.4044 0.8543 1.63
-0.5662 0.8902 1.64
-0.6557 0.9855 1.65
-0.697 1.2767 1.66
-0.7771 1.2247 1.67
-0.8503 1.5038 1.68
-0.9807 1.6173 1.69
-0.8692 2.0197 1.7
-0.8496 2.1132 1.71
-0.8859 2.3416 1.72
-0.8237 2.4243 1.73
-0.7534 2.6481 1.74
-0.7249 3.0069 1.75
-0.5757 2.6406 1.76
-0.4944 2.8336 1.77
-0.4561 3.252 1.78
-0.3206 2.9178 1.79
-0.1857 2.7714 1.8
-0.0458 3.03 1.81
0.0932 2.7438 1.82
0.2084 2.5438 1.83
0.3268 2.6245 1.84
0.4532 2.1166 1.85
0.5273 2.105 1.86
0.6522 1.9857 1.87
0.685 1.9028 1.88
0.733 1.613 1.89
0.8006 1.3373 1.9
0.8944 1.0617 1.91
0.854 0.9262 1.92
0.8884 0.824 1.93
0.9216 0.8441 1.94
0.8396 0.6717 1.95
0.792 0.6703 1.96
0.6428 0.7145 1.97
0.5756 0.7703 1.98
0.4814 0.7608 1.99
0.3949 0.8994 2.0
0.2868 0.8745 2.01
0.1336 1.0269 2.02
-0.0022 1.128 2.03
-0.1505 1.2806 2.04
-0.2463 1.6571 2.05
-0.4311 1.7967 2.06
-0.544 1.6572 2.07
-0.6487 1.8793 2.08
-0.7967 1.9178 2.09
-0.8464 2.0319 2.1
-0.8196 1.8486 2.11
-0.9365 2.118 2.12
-0.945 1.9317 2.13
-0.9445 1.9842 2.14
-1.0574 1.7596 2.15
-1.0114 1.6144 2.16
-0.9366 1.6202 2.17
-0.8707 1.1855 2.18
-0.8582 1.1506 2.19
-0.7302 0.9422 2.2
-0.6714 0.5987 2.21
-0.5445 0.4534 2.22
-0.407 0.2076 2.23
-0.2657 -0.0069 2.24
-0.098 -0.1874 2.25
0.0534 -0.3825 2.26
0.2159 -0.5084 2.27
0.3336 -0.5827 2.28
0.5237 -0.7402 2.29
0.5836 -0.6646 2.3
0.8016 -0.7294 2.31
0.9241 -0.6701 2.32
0.9333 -0.6336 2.33
0.9823 -0.6044 2.34
1.16 -0.4118 2.35
1.2455 -0.2961 2.36
1.366 -0.1616 2.37
1.1423 0.004 2.38
1.205 0.1784 2.39
1.1872 0.3103 2.4
1.1925 0.4818 2.41
1.1376 0.6141 2.42
1.0495 0.6542 2.43
1.0249 0.8255 2.44
0.9642 0.7827 2.45
0.781 0.8191 2.46
0.672 0.8164 2.47
0.5377 0.7897 2.48
0.4622 0.822 2.49
0.2834 0.6203 2.5
0.1615 0.5851 2.51
0.0694 0.4516 2.52
-0.0443 0.2403 2.53
-0.124 0.0847 2.54
-0.2391 -0.0946 2.55
-0.2821 -0.2884 2.56
-0.3125 -0.4463 2.57
-0.4175 -0.5335 2.58
-0.4282 -0.7874 2.59
-0.4216 -0.9195 2.6
-0.4123 -0.9073 2.61
-0.3245 -0.9975 2.62
-0.3009 -0.9945 2.63
-0.2219 -0.9266 2.64
-0.1153 -0.8522 2.65
-0.0121 -0.7796 2.66
0.1033 -0.7113 2.67
0.2141 -0.5849 2.68
0.36 -0.3679 2.69
0.5223 -0.2164 2.7
0.6649 -0.0009 2.71
0.8853 0.233 2.72
0.9593 0.4376 2.73
1.0288 0.592 2.74
1.2133 0.8485 2.75
1.4043 1.0561 2.76
1.4621 1.0909 2.77
1.7571 1.4271 2.78
1.6479 1.5749 2.79
1.808 1.4089 2.8
1.759 1.6885 2.81
1.7253 1.4856 2.82
1.8569 1.5582 2.83
1.6872 1.5712 2.84
1.6599 1.3099 2.85
1.9467 1.3483 2.86
1.5911 1.0726 2.87
1.6541 1.0624 2.88
1.6827 0.857 2.89
1.3959 0.7585 2.9
1.4433 0.5687 2.91
1.2013 0.4552 2.92
1.15 0.3339 2.93
0.9085 0.2532 2.94
0.7887 0.2081 2.95
0.728 0.1557 2.96
