#y4 y1 time y2 y3
0.648 0.173 0.01 0.7204 1.1963
1.2251 0.3514 0.02 1.1546 -0.0316
1.0365 0.5188 0.03 0.8299 -0.0616
0.5256 0.6882 0.04 0.2887 1.6497
-0.0815 0.7978 0.05 -0.3819 1.3096
-0.4712 0.9318 0.06 -0.7233 0.1698
-0.5402 1.0617 0.07 -0.4834 1.5829
-0.0473 1.1751 0.08 0.2352 2.4439
0.7208 1.1281 0.09 1.0006 0.8368
1.2413 1.1458 0.1 1.3517 0.9996
1.6367 1.3688 0.11 1.2955 2.2323
1.4605 1.3524 0.12 0.7445 1.6917
0.9314 1.2214 0.13 0.1282 0.436
0.3352 1.418 0.14 -0.2653 1.6526
-0.0208 1.3501 0.15 -0.1842 2.1367
0.0614 1.277 0.16 0.457 0.3083
0.6127 1.0451 0.17 1.3118 0.5624
1.3001 1.1158 0.18 1.8492 1.8982
2.0799 1.0424 0.19 1.9818 0.6025
2.1658 0.8845 0.2 1.3659 -0.4843
2.0306 0.8241 0.21 0.7074 0.8339
1.2509 0.7035 0.22 0.1244 0.9246
0.7211 0.4945 0.23 0.1133 -0.7018
0.3936 0.42 0.24 0.5779 -0.1671
0.556 0.3257 0.25 1.2672 0.952
1.1685 0.2296 0.26 2.0537 -0.2821
2.0322 0.1238 0.27 2.2192 -0.942
2.2071 0.0396 0.28 1.8681 0.7898
2.4379 -0.0284 0.29 1.1803 0.6392
2.2771 -0.0754 0.3 0.5342 -0.7886
1.6592 -0.1221 0.31 0.3428 0.2569
1.0487 -0.1245 0.32 0.8104 1.3148
0.8004 -0.1208 0.33 1.4382 0.0799
0.981 -0.1184 0.34 2.0761 -0.0618
1.5709 -0.0761 0.35 2.4942 1.7301
2.4453 -0.015 0.36 2.3708 1.327
2.7833 0.0642 0.37 1.4554 0.17
2.5614 0.1525 0.38 0.8742 1.3189
2.4102 0.2855 0.39 0.65 2.5452
1.6923 0.3764 0.4 0.9927 0.8757
1.2336 0.475 0.41 1.6683 1.0934
0.9929 0.6676 0.42 2.1807 2.5179
1.1879 0.8338 0.43 2.6163 1.8171
1.7811 0.9962 0.44 2.7999 0.7455
2.528 1.1053 0.45 1.7598 2.1761
3.0254 1.357 0.46 1.3272 2.4523
2.938 1.4837 0.47 0.8115 0.789
2.39 1.5832 0.48 1.0219 0.8771
1.6491 1.5937 0.49 1.6236 2.2929
1.1258 1.6927 0.5 2.47 1.061
0.9161 2.0729 0.51 2.7229 -0.1339
1.2976 2.0103 0.52 2.8794 1.1663
2.0983 2.3129 0.53 2.4523 1.0611
2.8355 2.3036 0.54 1.6557 -0.6555
2.8553 2.3443 0.55 0.9557 -0.3428
2.8693 2.3096 0.56 1.1019 0.6809
2.2403 2.291 0.57 1.4242 -0.6898
1.4154 2.2846 0.58 2.1002 -1.4102
0.9039 2.3014 0.59 2.9636 -0.1588
0.8112 2.3804 0.6 2.7485 -0.4578
1.1418 2.2639 0.61 2.3346 -2.106
1.8794 1.9851 0.62 1.7842 -1.2603
2.5715 1.8469 0.63 1.0399 -0.2327
2.4735 1.8772 0.64 1.064 -1.5559
2.2815 1.8832 0.65 1.3334 -2.0435
1.6595 1.6164 0.66 2.3 -0.361
1.1789 1.4701 0.67 3.0398 -0.6779
0.6413 1.3478 0.68 3.2588 -2.0402
0.6682 1.241 0.69 2.6517 -0.8282
1.1182 1.1641 0.7 1.8835 0.1681
1.8525 1.0 0.71 1.1981 -1.3366
2.1887 0.8094 0.72 0.9357 -1.12
2.2997 0.7625 0.73 1.1516 0.5066
1.9036 0.7136 0.74 2.0275 -0.0728
1.4147 0.6236 0.75 2.7739 -1.0993
0.5721 0.5455 0.76 3.1425 0.2435
0.1945 0.5092 0.77 2.4684 0.792
0.241 0.5393 0.78 2.0809 -0.6555
0.755 0.5345 0.79 1.229 -0.3917
1.2581 0.4779 0.8 0.9448 1.0011
2.0269 0.5599 0.81 0.9797 0.0525
1.9746 0.6295 0.82 1.5948 -0.8924
1.3783 0.6472 0.83 2.1412 0.4102
0.7369 0.8628 0.84 2.5793 0.5397
0.0221 0.9748 0.85 2.7667 -1.2929
-0.3133 0.9515 0.86 1.7984 -0.7165
-0.1888 1.2249 0.87 1.278 0.3606
0.3325 1.3303 0.88 0.7819 -0.9497
0.9184 1.4117 0.89 0.8217 -2.0276
1.4606 1.5049 0.9 1.3423 -0.4919
1.2114 1.7653 0.91 1.9135 -0.8138
