#Atlantis NPP, unit 17
#date;fha;bc;ao
1996-09-19;1.335;5.244;-5.614
1996-09-20;1.334;5.239;-5.607
1996-09-21;1.333;5.23;-5.599
1996-09-22;1.332;5.224;-5.59
1996-09-23;1.331;5.215;-5.58
1996-09-24;1.33;5.203;-5.573
1996-09-25;1.329;5.191;-5.568
1996-09-26;1.328;5.178;-5.563
1996-09-27;1.327;5.173;-5.555
1996-09-28;1.326;5.166;-5.552
1996-09-29;1.325;5.153;-5.546
1996-09-30;1.324;5.139;-5.541
1996-10-01;1.322;5.124;-5.538
1996-10-02;1.322;5.116;-5.533
1996-10-03;1.32;5.107;-5.526
1996-10-04;1.319;5.098;-5.521
1996-10-05;1.319;5.085;-5.515
1996-10-06;1.317;5.071;-5.51
1996-10-07;1.317;5.062;-5.506
1996-10-08;1.315;5.049;-5.5
1996-10-09;1.315;5.037;-5.495
1996-10-10;1.313;5.025;-5.489
1996-10-11;1.313;5.011;-5.485
1996-10-12;1.311;4.997;-5.48
1996-10-13;1.31;4.986;-5.475
1996-10-14;1.309;4.976;-5.472
1996-10-15;1.308;4.969;-5.469
1996-10-16;1.307;4.957;-5.465
1996-10-17;1.306;4.949;-5.46
1996-10-18;1.305;4.936;-5.457
1996-10-19;1.303;4.923;-5.454
1996-10-20;1.302;4.911;-5.449
1996-10-21;1.301;4.905;-5.445
1996-10-22;1.3;4.892;-5.443
1996-10-23;1.299;4.883;-5.439
1996-10-24;1.298;4.874;-5.436
1996-10-25;1.297;4.861;-5.432
1996-10-26;1.296;4.855;-5.428
1996-10-27;1.295;4.85;-5.423
1996-10-28;1.294;4.835;-5.42
1996-10-29;1.293;4.83;-5.416
1996-10-30;1.292;4.824;-5.413
1996-10-31;1.291;4.811;-5.409
1996-11-01;1.291;4.799;-5.405
1996-11-02;1.29;4.794;-5.401
1996-11-03;1.289;4.785;-5.396
1996-11-04;1.287;4.77;-5.393
1996-11-05;1.286;4.757;-5.39
1996-11-06;1.285;4.746;-5.387
1996-11-07;1.284;4.738;-5.383
1996-11-08;1.284;4.725;-5.381
1996-11-09;1.283;4.715;-5.378
1996-11-10;1.282;4.705;-5.375
1996-11-11;1.281;4.692;-5.372
1996-11-12;1.28;4.687;-5.368
1996-11-13;1.278;4.672;-5.365
