Semily;339.759
Chomutov;6583.105
Svitavy;3978.05
Jesenik;5081.987
Melnik;6682.048
Sokolov;4981.27
Nymburk;8404.868
Kolin;3879.813
Bruntal;9080.881
Kolin;3255.561
Ostrava;6481.458
Plzen;6467.194
Melnik;4204.383
Brno;9157.076
Kladno;6444.166
Tabor;2067.665
Jesenik;6232.857
Pisek;1651.883
Teplice;9090.83
Prachatice;1227.159
Vsetin;8023.298
Vyskov;3603.015
Domazlice;4584.255
Pisek;4631.759
Pribram;5482.818
Pribram;374.418
Jesenik;2378.487
Prerov;1054.98
Pribram;7892.613
Litomerice;7027.12
Blansko;4756.559
Breclav;2145.626
Znojmo;5992.729
Rakovnik;8549.798
Opava;7567.839
Bruntal;6595.036
Decin;3514.776
Zlin;8969.277
Ostrava;7317.628
Chomutov;8163.941
Prostejov;6228.477
Louny;5405.745
Louny;4872.857
Most;601.72
Olomouc;7579.673
Prachatice;1169.849
Liberec;427.563
Vsetin;1330.329
Decin;1842.179
Sumperk;3231.342
Semily;5586.496
Praha;3770.442
Plzen;6421.586
Louny;2171.337
Opava;6979.518
Trebic;5230.546
Nachod;420.367
Melnik;300.742
Pardubice;5946.772
Hodonin;9163.85
Sokolov;5587.087
Trebic;3044.635
Kromeriz;5563.999
Kladno;7033.524
Jicin;171.157
Opava;2650.566
Chrudim;5075.389
Beroun;2150.11
Breclav;2532.674
Breclav;8666.404
Strakonice;1798.08
Liberec;6269.774
Svitavy;9062.534
Karvina;3905.336
Zlin;7107.127
Blansko;8836.742
Domazlice;5180.124
Teplice;4515.72
Benesov;8280.325
Rokycany;8783.389
Decin;7456.749
Ostrava;2963.526
Teplice;5666.632
Plzen;1115.878
Jesenik;7118.772
Chrudim;4986.512
Tabor;9014.812
Sumperk;6170.35
Cheb;8504.06
Trutnov;2155.868
Opava;5811.858
Cheb;965.577
Prachatice;778.202
Chrudim;3061.52
Ostrava;2022.96
Rokycany;8325.712
Nachod;960.841
Olomouc;8403.05
Nymburk;604.252
Jicin;5477.028
Benesov;8822.954
Louny;7755.12
Nymburk;387.077
Hodonin;5745.097
Nymburk;8491.663
Praha;1107.552
Jicin;3630.147
Blansko;2250.941
Vyskov;3236.887
Trutnov;2598.868
Kladno;1065.234
Bruntal;4405.87
Decin;4633.89
Prostejov;6434.55
Brno;4874.144
Pelhrimov;4113.138
Nachod;7979.705
Vsetin;3030.246
Pisek;4545.455
Rokycany;3834.88
Praha;4512.197
Kladno;1241.928
Klatovy;1160.495
Chomutov;9154.86
Strakonice;7693.791
Domazlice;1774.731
Teplice;3260.118
Blansko;3477.279
Praha;3245.788
Beroun;5159.754
Trutnov;4702.444
Pardubice;227.976
Pardubice;7167.381
Olomouc;7257.3
Cheb;8371.993
Prostejov;1313.546
Tachov;6853.064
Prostejov;9089.988
Pisek;7093.249
Semily;2763.514
Kromeriz;2082.064
Breclav;184.971
