   0    0      0.94800
   0  640      0.99800
   0   64      0.94850
   0  128      0.95000
   0  192      0.95250
   0  256      0.95600
   0  320      0.96050
   0  384      0.96600
   0  448      0.97250
   0  512      0.98000
   0  576      0.98850
 640    0      0.95800
 640  640      1.00800
 640   64      0.95850
 640  128      0.96000
 640  192      0.96250
 640  256      0.96600
 640  320      0.97050
 640  384      0.97600
 640  448      0.98250
 640  512      0.99000
 640  576      0.99850
  64    0      0.94900
  64  640      0.99900
  64   64      0.94950
  64  128      0.95100
  64  192      0.95350
  64  256      0.95700
  64  320      0.96150
  64  384      0.96700
  64  448      0.97350
  64  512      0.98100
  64  576      0.98950
 128    0      0.95000
 128  640      1.00000
 128   64      0.95050
 128  128      0.95200
 128  192      0.95450
 128  256      0.95800
 128  320      0.96250
 128  384      0.96800
 128  448      0.97450
 128  512      0.98200
 128  576      0.99050
 192    0      0.95100
 192  640      1.00100
 192   64      0.95150
 192  128      0.95300
 192  192      0.95550
 192  256      0.95900
 192  320      0.96350
 192  384      0.96900
 192  448      0.97550
 192  512      0.98300
 192  576      0.99150
 256    0      0.95200
 256  640      1.00200
 256   64      0.95250
 256  128      0.95400
 256  192      0.95650
 256  256      0.96000
 256  320      0.96450
 256  384      0.97000
 256  448      0.97650
 256  512      0.98400
 256  576      0.99250
 320    0      0.95300
 320  640      1.00300
 320   64      0.95350
 320  128      0.95500
 320  192      0.95750
 320  256      0.96100
 320  320      0.96550
 320  384      0.97100
 320  448      0.97750
 320  512      0.98500
 320  576      0.99350
 384    0      0.95400
 384  640      1.00400
 384   64      0.95450
 384  128      0.95600
 384  192      0.95850
 384  256      0.96200
 384  320      0.96650
 384  384      0.97200
 384  448      0.97850
 384  512      0.98600
 384  576      0.99450
 448    0      0.95500
 448  640      1.00500
 448   64      0.95550
 448  128      0.95700
 448  192      0.95950
 448  256      0.96300
 448  320      0.96750
 448  384      0.97300
 448  448      0.97950
 448  512      0.98700
 448  576      0.99550
 512    0      0.95600
 512  640      1.00600
 512   64      0.95650
 512  128      0.95800
 512  192      0.96050
 512  256      0.96400
 512  320      0.96850
 512  384      0.97400
 512  448      0.98050
 512  512      0.98800
 512  576      0.99650
 576    0      0.95700
 576  640      1.00700
 576   64      0.95750
 576  128      0.95900
 576  192      0.96150
 576  256      0.96500
 576  320      0.96950
 576  384      0.97500
 576  448      0.98150
 576  512      0.98900
 576  576      0.99750
