#y1 y2 y3 time
0.2916 0.4783 0.3447 0.01
0.6876 0.9035 0.5728 0.02
0.9094 1.1033 0.8095 0.03
1.0753 1.0448 1.1217 0.04
1.2825 0.9387 1.2057 0.05
1.6341 0.7101 1.3113 0.06
1.9164 0.341 1.2292 0.07
1.7868 -0.0335 1.1166 0.08
1.7709 -0.3834 1.1059 0.09
2.1472 -0.6282 0.8175 0.1
2.0363 -0.5805 0.6211 0.11
2.0171 -0.5282 0.3602 0.12
1.7631 -0.191 0.1417 0.13
1.7407 0.2525 -0.0469 0.14
1.4617 0.7615 -0.1558 0.15
1.3242 1.1716 -0.236 0.16
0.9258 1.3548 -0.2189 0.17
0.7681 1.6136 -0.1096 0.18
0.5139 1.6633 0.057 0.19
0.3211 1.3441 0.302 0.2
0.1349 1.1139 0.5238 0.21
-0.032 0.7168 0.8612 0.22
-0.1731 0.2786 1.0815 0.23
-0.2919 -0.0168 1.4878 0.24
-0.3907 -0.1525 1.608 0.25
-0.4344 -0.1146 1.8244 0.26
-0.5169 0.0777 2.1421 0.27
-0.4623 0.4418 2.0385 0.28
-0.4359 0.8808 2.1172 0.29
-0.4095 1.3352 2.1309 0.3
-0.3042 1.7041 1.9355 0.31
-0.2123 1.9892 1.595 0.32
-0.0974 1.8674 1.4673 0.33
0.0115 2.0375 1.0058 0.34
0.1282 1.7556 0.7794 0.35
0.2301 1.204 0.5612 0.36
0.3028 0.8361 0.4337 0.37
0.3677 0.5259 0.357 0.38
0.4068 0.2734 0.2567 0.39
0.4566 0.2239 0.3191 0.4
0.4743 0.3119 0.4417 0.41
0.4752 0.6629 0.6485 0.42
0.4361 0.9068 0.8687 0.43
0.3667 1.439 1.1599 0.44
0.2739 2.0514 1.3878 0.45
0.1876 2.2286 1.7395 0.46
0.0946 2.4679 2.042 0.47
-0.0133 2.3298 2.1663 0.48
-0.1187 2.231 2.2205 0.49
-0.1996 1.9839 2.161 0.5
-0.2559 1.5485 2.2821 0.51
-0.3229 1.0011 1.9892 0.52
-0.3896 0.7452 1.7227 0.53
-0.3444 0.574 1.6451 0.54
-0.3148 0.5585 1.2535 0.55
-0.2684 0.729 1.0494 0.56
-0.144 1.1168 0.6824 0.57
-0.0086 1.4997 0.4834 0.58
0.1476 1.918 0.253 0.59
0.3695 2.1269 0.0661 0.6
0.6085 2.4114 -0.0371 0.61
0.8507 2.7938 -0.0698 0.62
1.0792 2.5624 -0.0152 0.63
1.4195 2.4614 0.1121 0.64
1.4415 1.8802 0.2984 0.65
1.9382 1.3158 0.4923 0.66
2.0576 1.1105 0.6811 0.67
2.4455 0.7902 1.0219 0.68
2.5865 0.7502 1.3108 0.69
2.5068 0.7071 1.2683 0.7
2.5637 0.9166 1.3788 0.71
2.7194 1.4775 1.4498 0.72
2.4508 1.9576 1.5889 0.73
2.5407 2.0197 1.536 0.74
2.3257 2.6349 1.1983 0.75
2.2539 2.545 1.0324 0.76
2.2979 2.6855 0.7819 0.77
1.8829 2.628 0.3957 0.78
1.5206 2.2595 0.1069 0.79
1.3051 1.7636 -0.1847 0.8
1.144 1.3193 -0.4644 0.81
0.8472 0.9509 -0.7113 0.82
0.5495 0.7568 -0.7273 0.83
0.2313 0.8047 -0.858 0.84
-0.0357 0.8762 -0.8874 0.85
-0.2899 1.2377 -0.6851 0.86
-0.4707 1.5311 -0.5571 0.87
-0.6764 1.9777 -0.3468 0.88
-0.8301 2.3138 -0.105 0.89
-0.7695 2.666 0.1411 0.9
-0.8767 2.4983 0.4275 0.91
-0.873 2.3638 0.5876 0.92
-0.8665 2.3601 0.7061 0.93
-0.7368 2.0099 0.8357 0.94
-0.5901 1.49 0.8713 0.95
-0.3923 1.0276 0.8111 0.96
-0.2142 0.7399 0.6824 0.97
0.0118 0.6983 0.462 0.98
0.2276 0.7014 0.2134 0.99
0.4408 0.8649 -0.0744 1.0
0.6095 1.2858 -0.3338 1.01
0.8367 1.7919 -0.6751 1.02
1.1398 2.191 -0.9759 1.03
1.2103 2.5331 -1.1908 1.04
1.4392 2.7601 -1.2135 1.05
1.467 2.289 -1.2212 1.06
1.7013 2.2757 -1.3143 1.07
1.5478 1.9575 -1.0732 1.08
1.6597 1.7345 -0.9237 1.09
1.5084 1.1037 -0.6979 1.1
1.5464 0.7252 -0.4258 1.11
1.6822 0.501 -0.1744 1.12
1.6093 0.4056 0.1148 1.13
1.5081 0.5037 0.334 1.14
1.2256 0.818 0.5205 1.15
1.2168 1.1942 0.7953 1.16
1.2349 1.4766 0.7881 1.17
1.1557 1.955 0.8668 1.18
1.0224 2.3959 0.8039 1.19
1.0127 2.2865 0.5858 1.2
1.0365 2.2283 0.38 1.21
0.8916 2.1173 0.1535 1.22
0.9153 1.4858 -0.0837 1.23
1.1341 1.1999 -0.3454 1.24
1.1532 0.7221 -0.5385 1.25
1.3399 0.3741 -0.8048 1.26
1.2564 0.1965 -0.7997 1.27
1.4683 0.1911 -0.8607 1.28
1.5 0.3553 -0.915 1.29
1.6322 0.6508 -0.7034 1.3
1.794 1.0729 -0.5914 1.31
1.7617 1.5968 -0.3267 1.32
2.1964 1.7377 -0.0171 1.33
1.9137 1.9228 0.2758 1.34
2.2377 1.9464 0.6617 1.35
1.9603 1.6947 0.9355 1.36
2.0617 1.4799 1.1983 1.37
1.8147 1.0876 1.3162 1.38
1.7927 0.6047 1.5729 1.39
1.6367 0.201 1.6587 1.4
1.3792 -0.0509 1.4522 1.41
1.2068 -0.1678 1.4144 1.42
0.9876 -0.0693 1.372 1.43
0.7316 0.1645 1.1659 1.44
0.524 0.5237 0.8604 1.45
0.266 0.9246 0.6412 1.46
0.0154 1.3765 0.3734 1.47
-0.2322 1.7193 0.2275 1.48
-0.4211 1.6878 0.0987 1.49
-0.6507 1.7474 0.0526 1.5
-0.7685 1.4169 0.0683 1.51
-1.0038 0.9402 0.1674 1.52
-0.9007 0.5578 0.3558 1.53
-0.9815 0.0994 0.6223 1.54
-1.0749 -0.2452 0.7815 1.55
-0.9281 -0.4576 1.1337 1.56
-0.7576 -0.4484 1.4971 1.57
-0.613 -0.3395 1.747 1.58
-0.3976 -0.0052 1.92 1.59
-0.1804 0.3637 2.3802 1.6
0.1111 0.8432 2.6373 1.61
0.3747 1.1119 2.4836 1.62
0.7111 1.2868 2.6502 1.63
0.9247 1.4041 2.6403 1.64
1.2029 1.3057 2.3409 1.65
1.4141 0.8256 2.1052 1.66
1.8583 0.4542 1.9243 1.67
1.8418 0.0238 1.5227 1.68
