#y3 y2 y1 time
0.6407 0.3742 0.2936 0.01
1.2512 0.6735 0.5377 0.02
1.704 1.0368 0.836 0.03
1.4724 1.359 1.0427 0.04
1.4318 1.6987 1.1965 0.05
0.993 1.8113 1.186 0.06
0.6387 1.9279 1.2907 0.07
0.4402 2.2072 1.2007 0.08
0.466 1.9993 1.1741 0.09
0.7848 2.1803 1.0431 0.1
1.1571 1.9881 0.8978 0.11
1.8455 1.961 0.774 0.12
2.4883 2.0012 0.6169 0.13
2.7717 1.7024 0.44 0.14
2.9649 1.6148 0.2369 0.15
2.5342 1.3549 0.0715 0.16
2.0784 1.3081 -0.0456 0.17
1.5037 1.062 -0.1068 0.18
0.7781 0.9514 -0.117 0.19
0.45 0.7804 -0.0663 0.2
0.3194 0.5997 0.0317 0.21
0.4373 0.5389 0.1873 0.22
0.7408 0.4915 0.4138 0.23
1.2946 0.449 0.6554 0.24
1.4943 0.4572 0.9313 0.25
1.5346 0.4847 1.1894 0.26
1.6157 0.5098 1.4963 0.27
1.1367 0.6151 1.5593 0.28
0.4692 0.7488 1.7321 0.29
-0.1783 0.8354 2.0523 0.3
-0.7658 0.9675 2.1927 0.31
-1.0604 1.048 2.1032 0.32
-1.192 1.2433 2.4481 0.33
-0.8111 1.269 2.4224 0.34
-0.4079 1.2866 2.0851 0.35
0.0674 1.376 2.1303 0.36
0.4419 1.218 1.8046 0.37
0.6418 1.1075 1.7129 0.38
0.5299 1.1031 1.2809 0.39
0.2271 0.9276 1.1602 0.4
-0.28 0.8831 0.9227 0.41
-0.6883 0.6915 0.7689 0.42
-1.1638 0.5031 0.6384 0.43
-1.2674 0.2543 0.5754 0.44
-0.9963 0.0415 0.5218 0.45
-0.612 -0.1605 0.4963 0.46
0.0052 -0.3895 0.5808 0.47
0.6027 -0.4805 0.7609 0.48
0.9407 -0.6251 0.8404 0.49
1.3009 -0.7222 1.0129 0.5
1.1694 -0.8349 1.3182 0.51
0.7817 -0.8831 1.568 0.52
0.2857 -0.7437 1.7694 0.53
-0.2232 -0.6905 2.1196 0.54
-0.5522 -0.5472 2.0954 0.55
-0.5985 -0.3872 2.1131 0.56
-0.4706 -0.1303 2.2121 0.57
-0.0778 0.1067 2.5029 0.58
0.4179 0.3506 2.2144 0.59
0.7954 0.6551 2.2001 0.6
1.0938 1.0018 1.9964 0.61
1.1238 1.2743 1.9241 0.62
0.7475 1.6131 1.7154 0.63
0.1668 1.8385 1.3748 0.64
-0.4932 1.9189 1.1105 0.65
-1.1644 2.1918 0.9465 0.66
-1.5009 2.2091 0.719 0.67
-1.5941 2.2936 0.4789 0.68
-1.4727 2.3673 0.3683 0.69
-1.1361 2.0397 0.2549 0.7
-0.8589 1.9317 0.1802 0.71
-0.4636 2.0827 0.2119 0.72
-0.3294 1.6358 0.2706 0.73
-0.5224 1.5486 0.4048 0.74
-0.9027 1.2878 0.5087 0.75
-1.3755 1.0427 0.6997 0.76
-1.8286 0.7287 0.9629 0.77
-2.2737 0.4464 1.0604 0.78
-2.9707 0.2203 1.341 0.79
-2.63 -0.0303 1.4901 0.8
-2.3262 -0.2378 1.7698 0.81
-1.7553 -0.3831 1.6198 0.82
-1.3091 -0.5076 1.6501 0.83
-0.8326 -0.6293 1.8549 0.84
-0.5143 -0.7096 1.881 0.85
-0.4297 -0.82 1.5563 0.86
-0.6488 -0.7402 1.5035 0.87
-0.983 -0.7736 1.3269 0.88
-1.3387 -0.7159 1.0244 0.89
-1.4631 -0.6318 0.6506 0.9
-1.7106 -0.5763 0.4659 0.91
-1.223 -0.5219 0.1603 0.92
-0.7052 -0.4782 -0.0686 0.93
0.022 -0.4065 -0.2563 0.94
0.7737 -0.3786 -0.4674 0.95
1.3195 -0.3686 -0.5222 0.96
1.5694 -0.4501 -0.5587 0.97
1.5789 -0.5451 -0.59 0.98
1.3476 -0.6075 -0.4574 0.99
1.0543 -0.7073 -0.3957 1.0
0.6591 -0.8804 -0.2142 1.01
0.5073 -1.0544 -0.0148 1.02
0.5473 -1.1804 0.1891 1.03
0.7397 -1.4768 0.3797 1.04
1.3219 -1.7489 0.6754 1.05
1.8173 -1.8962 0.7575 1.06
2.2901 -2.0492 0.9148 1.07
2.9308 -2.4626 0.9644 1.08
2.5553 -2.4621 1.1822 1.09
2.6933 -2.4927 1.1084 1.1
2.0037 -2.4828 1.1105 1.11
1.2669 -2.4046 0.9496 1.12
0.8438 -2.4325 0.7855 1.13
0.4797 -2.6421 0.5586 1.14
0.3128 -2.3759 0.3142 1.15
0.4335 -2.1018 0.0735 1.16
0.8062 -1.8602 -0.172 1.17
1.0509 -1.6489 -0.3846 1.18
1.5 -1.2549 -0.6155 1.19
1.5314 -1.0257 -0.7938 1.2
1.3854 -0.672 -0.9199 1.21
1.096 -0.4247 -0.9685 1.22
0.4604 -0.1211 -1.0122 1.23
-0.1842 0.1763 -1.0164 1.24
-0.7972 0.3707 -0.8108 1.25
-0.9758 0.6348 -0.625 1.26
-1.1871 0.8444 -0.4792 1.27
-0.9197 0.9671 -0.2458 1.28
-0.4578 1.0187 -0.0089 1.29
0.0613 1.0194 0.2496 1.3
0.4363 0.8858 0.4941 1.31
0.5898 0.8025 0.6805 1.32
0.5912 0.7719 0.9325 1.33
0.2241 0.5768 0.9431 1.34
-0.226 0.4138 1.0961 1.35
-0.7262 0.1877 1.057 1.36
-0.9677 -0.0206 1.0968 1.37
-1.2389 -0.2343 0.9867 1.38
-0.9182 -0.4583 0.8313 1.39
-0.5402 -0.5776 0.6275 1.4
0.0134 -0.7719 0.3981 1.41
0.6465 -0.9247 0.1954 1.42
1.0346 -1.0586 -0.0349 1.43
1.1967 -1.1158 -0.2241 1.44
1.0145 -0.9925 -0.392 1.45
0.8318 -1.1345 -0.5791 1.46
0.2612 -0.8936 -0.6293 1.47
-0.1783 -0.8444 -0.6934 1.48
-0.5654 -0.8547 -0.6428 1.49
-0.6745 -0.6493 -0.5659 1.5
-0.4469 -0.5013 -0.4206 1.51
-0.0805 -0.3652 -0.2107 1.52
0.4195 -0.2098 0.03 1.53
0.8597 -0.1062 0.3191 1.54
1.1556 0.0062 0.6161 1.55
0.9849 0.0828 0.8521 1.56
0.6825 0.1508 1.1228 1.57
0.1784 0.166 1.3617 1.58
-0.4942 0.1553 1.3744 1.59
-1.0167 0.1097 1.6981 1.6
-1.5601 0.0409 1.6782 1.61
