#y1 y5 y4 y3 time y2 y6
0.4268 0.2105 0.224 0.2386 0.01 0.9365 0.2485
0.8175 0.3885 0.4764 0.5015 0.02 1.6064 0.4782
1.0901 0.632 0.6682 0.6372 0.03 1.544 0.703
1.2004 0.8159 0.9676 0.9116 0.04 1.3371 0.9383
1.2097 1.0053 1.1058 1.0347 0.05 0.8567 1.1097
0.9471 1.1816 1.2832 1.3071 0.06 0.3286 1.2688
0.6367 1.2926 1.5372 1.4063 0.07 0.0651 1.385
0.2265 1.1449 1.4488 1.4923 0.08 0.1581 1.7112
-0.093 1.3153 1.6435 1.5169 0.09 0.5761 1.4922
-0.3156 1.2585 1.8708 1.4496 0.1 0.9929 1.6483
-0.3422 1.3286 1.8106 1.4453 0.11 1.3666 1.8253
-0.2513 1.1845 1.8325 1.3098 0.12 1.1069 1.5558
0.0086 1.2382 1.7161 1.4714 0.13 0.5843 1.762
0.4103 0.9759 1.6955 1.3265 0.14 -0.2136 1.703
0.9537 0.8894 1.5188 1.1403 0.15 -0.9746 1.614
1.4234 0.784 1.4915 1.0601 0.16 -1.5357 1.5111
1.8422 0.6166 1.3579 0.8174 0.17 -1.6249 1.3294
2.0771 0.472 1.4618 0.7866 0.18 -1.1937 1.1924
1.9584 0.3697 1.1947 0.6618 0.19 -0.5333 0.9606
1.6778 0.2243 1.0512 0.452 0.2 0.1353 1.0092
1.4474 0.0886 0.9549 0.3658 0.21 0.6853 0.7253
1.1793 -0.0173 0.9503 0.2681 0.22 0.7492 0.645
0.8499 -0.0982 0.882 0.2219 0.23 0.532 0.5733
0.4674 -0.1461 0.8171 0.2042 0.24 0.1612 0.4715
0.2578 -0.1739 0.7157 0.2309 0.25 -0.0968 0.3929
0.1787 -0.1561 0.6261 0.2326 0.26 -0.0532 0.418
0.295 -0.1161 0.7239 0.3464 0.27 0.4001 0.3487
0.5809 -0.0352 0.7303 0.4007 0.28 1.1147 0.3586
1.0044 0.0742 0.7801 0.5501 0.29 1.9625 0.4183
1.3512 0.2062 0.8227 0.7368 0.3 2.4791 0.4683
1.7524 0.3866 0.9676 0.8821 0.31 2.2902 0.5899
2.1784 0.5371 0.9498 1.1098 0.32 1.9405 0.6516
2.1883 0.6626 1.1152 1.2732 0.33 1.0648 0.7559
2.4517 0.8678 1.3606 1.5294 0.34 0.2747 0.9502
2.2544 1.214 1.5647 1.6679 0.35 -0.3331 1.0965
1.5838 1.2211 1.7288 1.9491 0.36 -0.5335 1.1298
1.4077 1.4883 1.761 2.1905 0.37 -0.3631 1.3731
0.9893 1.7985 2.0668 2.374 0.38 0.0852 1.4196
0.5176 2.0275 2.4208 2.3532 0.39 0.5235 1.4915
0.3243 2.0006 2.3972 2.3651 0.4 0.6378 1.5877
0.1899 2.165 2.4326 2.608 0.41 0.4538 1.8008
0.2703 2.3013 2.4821 2.6435 0.42 -0.0852 1.9406
0.5403 2.1014 2.7983 2.8512 0.43 -0.6709 2.1346
0.943 2.45 2.7338 3.0435 0.44 -1.1011 2.068
1.2441 2.3802 3.0896 2.6423 0.45 -1.0508 2.047
1.7821 2.3041 3.1025 2.6766 0.46 -0.4694 1.9237
1.8164 2.1151 2.7494 2.6176 0.47 0.4296 1.9383
2.2249 2.1043 2.8701 2.6305 0.48 1.2757 1.9342
1.9771 2.0017 2.6487 2.4593 0.49 1.9826 1.8071
1.7591 1.6781 2.6471 2.108 0.5 2.2353 1.5892
1.4603 1.5647 2.9136 1.8315 0.51 2.2419 1.3644
0.9021 1.3216 2.3302 1.6374 0.52 1.5737 1.0547
0.5126 1.1401 2.5929 1.4946 0.53 1.0303 1.016
0.1045 0.9204 2.0845 1.5112 0.54 0.6871 0.7645
-0.1643 0.8153 1.8667 1.2588 0.55 0.763 0.5156
-0.232 0.661 1.8814 1.1675 0.56 1.1051 0.3093
-0.1513 0.556 1.6506 1.2083 0.57 1.6287 0.071
0.0656 0.5294 1.3885 1.0208 0.58 1.9685 -0.1321
0.4052 0.4166 1.1067 1.0516 0.59 1.9778 -0.2934
0.8395 0.3995 1.0847 1.0591 0.6 1.3578 -0.4768
1.2295 0.3663 0.8824 1.0434 0.61 0.6051 -0.6477
1.3111 0.4492 0.7159 1.0225 0.62 -0.2548 -0.7691
1.3698 0.4757 0.633 1.2247 0.63 -0.8757 -0.764
1.4203 0.5629 0.4878 1.2033 0.64 -1.1868 -0.8457
1.1015 0.7008 0.3701 1.3329 0.65 -0.7544 -0.9733
0.6578 0.8544 0.3671 1.6182 0.66 -0.191 -0.8932
0.271 0.9718 0.3518 1.7925 0.67 0.4823 -0.8612
-0.1866 1.1292 0.3513 2.0446 0.68 1.1135 -0.7599
-0.6093 1.2641 0.3479 1.9593 0.69 1.3385 -0.6543
-0.8808 1.6367 0.4256 2.2651 0.7 1.1935 -0.5631
-0.8483 1.5695 0.4224 2.5769 0.71 0.7084 -0.4136
-0.8071 1.6967 0.5468 2.4909 0.72 0.3777 -0.2835
-0.5271 1.8338 0.6056 2.543 0.73 0.3572 -0.1253
-0.1693 2.2153 0.7491 2.7956 0.74 0.6695 0.0245
0.2294 2.1856 0.8831 2.6312 0.75 1.3996 0.175
0.6133 2.1876 0.9925 2.5284 0.76 2.1832 0.3285
0.7699 2.2585 1.1265 2.9895 0.77 2.5667 0.5253
0.9354 2.4683 1.0207 2.5497 0.78 2.9542 0.6203
0.8159 2.4808 1.1048 2.6994 0.79 2.6674 0.6697
0.494 2.3416 1.1748 2.7063 0.8 1.818 0.8327
0.1322 2.098 1.3755 2.4619 0.81 0.9242 0.8433
-0.2655 2.1196 1.1509 2.1291 0.82 0.2901 0.948
-0.7025 2.031 1.3114 1.9948 0.83 -0.0228 1.0091
